Room,BSSID,SSID,RSSI(dBm),Time
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-72,2026-02-10 15:58:21
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 15:58:21
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:58:32
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-65,2026-02-10 15:58:32
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:58:36
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:58:36
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:58:40
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:58:40
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:58:47
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-69,2026-02-10 15:58:47
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:58:53
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:58:53
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:58:56
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-81,2026-02-10 15:58:56
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-77,2026-02-10 15:59:00
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-81,2026-02-10 15:59:00
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:59:05
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:59:05
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:59:08
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:59:08
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:59:11
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:59:11
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:59:17
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-86,2026-02-10 15:59:17
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:59:20
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:59:20
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-77,2026-02-10 15:59:23
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:59:23
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-73,2026-02-10 15:59:27
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-73,2026-02-10 15:59:31
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-77,2026-02-10 15:59:31
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-73,2026-02-10 15:59:34
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-77,2026-02-10 15:59:34
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:59:37
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:59:37
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:59:40
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-66,2026-02-10 15:59:40
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:59:45
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:59:49
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:59:49
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-72,2026-02-10 15:59:53
PALIER1ER,ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:59:53
