Room,BSSID,SSID,RSSI(dBm),Time
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:27:01
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 16:27:01
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:27:06
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-86,2026-02-10 16:27:06
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:27:13
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-79,2026-02-10 16:27:13
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:27:17
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-86,2026-02-10 16:27:17
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:27:24
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 16:27:24
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:27:29
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-87,2026-02-10 16:27:29
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:27:32
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:27:39
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:27:45
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-88,2026-02-10 16:27:45
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:27:49
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-88,2026-02-10 16:27:49
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 16:27:56
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 16:28:22
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-87,2026-02-10 16:28:35
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 16:28:47
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 16:28:55
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-84,2026-02-10 16:29:03
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 16:29:03
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-84,2026-02-10 16:29:17
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 16:29:17
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-84,2026-02-10 16:29:27
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 16:29:27
S101A,ac:2a:a1:7e:df:68,UTTetudiants,-84,2026-02-10 16:29:41
