Room,BSSID,SSID,RSSI(dBm),Time
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:21:49
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 16:21:49
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:21:52
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 16:21:52
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:21:55
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 16:21:55
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 16:22:03
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 16:22:06
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 16:22:10
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-86,2026-02-10 16:22:25
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 16:22:30
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 16:22:33
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 16:22:41
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-84,2026-02-10 16:22:48
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 16:22:50
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 16:22:53
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 16:23:01
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-84,2026-02-10 16:23:04
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-84,2026-02-10 16:23:08
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 16:23:20
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:23:33
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 16:23:37
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-86,2026-02-10 16:23:45
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-79,2026-02-10 16:23:48
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-79,2026-02-10 16:23:51
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:23:58
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:24:03
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:24:06
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 16:24:13
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 16:24:16
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 16:24:20
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 16:24:25
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 16:24:31
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 16:24:34
S101B,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 16:24:44
