BSSID,SSID,RSSI(dBm),Time
84:b2:61:1f:b5:37:,UTTetudiants,-74,2026-02-13 10:14:08
84:b2:61:1f:b5:37:,UTTetudiants,-74,2026-02-13 10:14:08
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:14:12
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:14:12
84:b2:61:1f:b5:37:,UTTetudiants,-73,2026-02-13 10:14:17
84:b2:61:1f:b5:37:,UTTetudiants,-73,2026-02-13 10:14:17
84:b2:61:1f:b5:37:,UTTetudiants,-73,2026-02-13 10:14:21
84:b2:61:1f:b5:37:,UTTetudiants,-73,2026-02-13 10:14:21
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:14:24
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:14:24
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:14:28
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:14:28
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:14:32
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:14:32
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:14:37
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:14:37
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:14:40
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:14:40
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:14:44
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:14:44
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:14:47
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:14:47
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:14:51
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:14:51
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:14:55
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:14:55
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:14:58
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:14:58
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:02
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:02
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:05
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:05
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:09
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:09
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:13
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:13
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:17
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:17
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:22
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:22
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:26
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:15:26
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:15:31
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:15:31
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:15:35
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:15:35
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:15:38
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:15:38
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:15:42
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:15:42
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:15:42
