BSSID,SSID,RSSI(dBm),Time
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:58:21
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:58:21
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:58:32
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:58:32
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:58:36
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:58:36
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:58:40
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:58:40
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:58:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-42,2026-02-10 15:58:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:58:53
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:58:53
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:58:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:58:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:59:00
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:59:00
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:59:05
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:59:05
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:59:08
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:59:08
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:59:11
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:59:11
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:59:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:59:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:59:20
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:59:20
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:59:23
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:59:23
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:59:27
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:59:27
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:59:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:59:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:59:34
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:59:34
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:59:37
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:59:37
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:59:40
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:59:40
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:59:45
