BSSID,SSID,RSSI(dBm),Time
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:53:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:53:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:53:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:53:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:53:18
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:53:18
de:4d:df:1f:8d:fd:,iPhone de Virgile,-42,2026-02-10 15:53:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-42,2026-02-10 15:53:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:53:25
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:53:25
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:53:28
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:53:28
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 15:53:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 15:53:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 15:53:34
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 15:53:34
de:4d:df:1f:8d:fd:,iPhone de Virgile,-36,2026-02-10 15:53:38
de:4d:df:1f:8d:fd:,iPhone de Virgile,-36,2026-02-10 15:53:38
de:4d:df:1f:8d:fd:,iPhone de Virgile,-33,2026-02-10 15:53:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-33,2026-02-10 15:53:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-33,2026-02-10 15:53:44
de:4d:df:1f:8d:fd:,iPhone de Virgile,-33,2026-02-10 15:53:44
de:4d:df:1f:8d:fd:,iPhone de Virgile,-34,2026-02-10 15:53:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-34,2026-02-10 15:53:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-34,2026-02-10 15:53:50
de:4d:df:1f:8d:fd:,iPhone de Virgile,-34,2026-02-10 15:53:50
