BSSID,SSID,RSSI(dBm),Time
de:4d:df:1f:8d:fd:,iPhone de Virgile,-19,2026-02-10 15:03:46
de:4d:df:1f:8d:fd:,iPhone de Virgile,-19,2026-02-10 15:03:46
de:4d:df:1f:8d:fd:,iPhone de Virgile,-25,2026-02-10 15:03:49
de:4d:df:1f:8d:fd:,iPhone de Virgile,-25,2026-02-10 15:03:49
de:4d:df:1f:8d:fd:,iPhone de Virgile,-25,2026-02-10 15:03:52
de:4d:df:1f:8d:fd:,iPhone de Virgile,-25,2026-02-10 15:03:52
de:4d:df:1f:8d:fd:,iPhone de Virgile,-22,2026-02-10 15:03:55
de:4d:df:1f:8d:fd:,iPhone de Virgile,-22,2026-02-10 15:03:55
de:4d:df:1f:8d:fd:,iPhone de Virgile,-22,2026-02-10 15:03:59
de:4d:df:1f:8d:fd:,iPhone de Virgile,-22,2026-02-10 15:03:59
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:04:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:04:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:04:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-34,2026-02-10 15:04:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-34,2026-02-10 15:04:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-34,2026-02-10 15:04:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-32,2026-02-10 15:04:16
de:4d:df:1f:8d:fd:,iPhone de Virgile,-32,2026-02-10 15:04:16
de:4d:df:1f:8d:fd:,iPhone de Virgile,-32,2026-02-10 15:04:19
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 15:04:19
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 15:04:26
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 15:04:26
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:04:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:04:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:04:32
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:04:32
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 15:04:35
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 15:04:35
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 15:04:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 15:04:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:04:44
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:04:44
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:04:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:04:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:04:50
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:04:50
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:04:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:04:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:04:59
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:04:59
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:05:02
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:05:02
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:05:05
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:05:05
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:05:09
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:05:09
de:4d:df:1f:8d:fd:,iPhone de Virgile,-52,2026-02-10 15:05:11
de:4d:df:1f:8d:fd:,iPhone de Virgile,-52,2026-02-10 15:05:11
de:4d:df:1f:8d:fd:,iPhone de Virgile,-52,2026-02-10 15:05:14
de:4d:df:1f:8d:fd:,iPhone de Virgile,-52,2026-02-10 15:05:14
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:05:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:05:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:05:19
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:05:19
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:05:25
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:05:25
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:05:28
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:05:28
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:05:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:05:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:05:34
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:05:34
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:05:36
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:05:36
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:05:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:05:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:05:44
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:05:44
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:05:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:05:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-51,2026-02-10 15:06:09
de:4d:df:1f:8d:fd:,iPhone de Virgile,-51,2026-02-10 15:06:09
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:06:12
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:06:12
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:06:15
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:06:15
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:19
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:19
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:26
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:26
de:4d:df:1f:8d:fd:,iPhone de Virgile,-42,2026-02-10 15:06:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-42,2026-02-10 15:06:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:06:34
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:06:34
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:06:37
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:06:37
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:43
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:43
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-42,2026-02-10 15:06:51
de:4d:df:1f:8d:fd:,iPhone de Virgile,-42,2026-02-10 15:06:51
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:06:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:06:59
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:06:59
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:07:02
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:07:02
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:07:08
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:07:08
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:07:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:07:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:07:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:07:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:07:16
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:07:16
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:07:25
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:07:25
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:07:27
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:07:27
f8:6b:d9:95:d8:87:,UTTetudiants,-66,2026-02-10 15:03:46
f8:6b:d9:95:d8:87:,UTTetudiants,-82,2026-02-10 15:03:46
f8:6b:d9:95:d8:87:,UTTetudiants,-66,2026-02-10 15:03:46
f8:6b:d9:95:d8:87:,UTTetudiants,-75,2026-02-10 15:03:49
f8:6b:d9:95:d8:87:,UTTetudiants,-82,2026-02-10 15:03:49
f8:6b:d9:95:d8:87:,UTTetudiants,-75,2026-02-10 15:03:49
f8:6b:d9:95:d8:87:,UTTetudiants,-75,2026-02-10 15:03:52
f8:6b:d9:95:d8:87:,UTTetudiants,-79,2026-02-10 15:03:52
f8:6b:d9:95:d8:87:,UTTetudiants,-75,2026-02-10 15:03:52
f8:6b:d9:95:d8:87:,UTTetudiants,-65,2026-02-10 15:03:55
f8:6b:d9:95:d8:87:,UTTetudiants,-79,2026-02-10 15:03:55
f8:6b:d9:95:d8:87:,UTTetudiants,-65,2026-02-10 15:03:55
f8:6b:d9:95:d8:87:,UTTetudiants,-65,2026-02-10 15:03:59
f8:6b:d9:95:d8:87:,UTTetudiants,-82,2026-02-10 15:03:59
f8:6b:d9:95:d8:87:,UTTetudiants,-65,2026-02-10 15:03:59
f8:6b:d9:95:d8:87:,UTTetudiants,-70,2026-02-10 15:04:07
f8:6b:d9:95:d8:87:,UTTetudiants,-78,2026-02-10 15:04:07
f8:6b:d9:95:d8:87:,UTTetudiants,-70,2026-02-10 15:04:07
f8:6b:d9:95:d8:87:,UTTetudiants,-70,2026-02-10 15:04:10
f8:6b:d9:95:d8:87:,UTTetudiants,-78,2026-02-10 15:04:10
f8:6b:d9:95:d8:87:,UTTetudiants,-70,2026-02-10 15:04:10
f8:6b:d9:95:d8:87:,UTTetudiants,-70,2026-02-10 15:04:13
f8:6b:d9:95:d8:87:,UTTetudiants,-86,2026-02-10 15:04:13
f8:6b:d9:95:d8:87:,UTTetudiants,-70,2026-02-10 15:04:13
f8:6b:d9:95:d8:87:,UTTetudiants,-75,2026-02-10 15:04:16
f8:6b:d9:95:d8:87:,UTTetudiants,-76,2026-02-10 15:04:16
f8:6b:d9:95:d8:87:,UTTetudiants,-75,2026-02-10 15:04:16
f8:6b:d9:95:d8:87:,UTTetudiants,-67,2026-02-10 15:04:19
f8:6b:d9:95:d8:87:,UTTetudiants,-76,2026-02-10 15:04:19
f8:6b:d9:95:d8:87:,UTTetudiants,-67,2026-02-10 15:04:19
f8:6b:d9:95:d8:87:,UTTetudiants,-70,2026-02-10 15:04:26
f8:6b:d9:95:d8:87:,UTTetudiants,-81,2026-02-10 15:04:26
f8:6b:d9:95:d8:87:,UTTetudiants,-70,2026-02-10 15:04:26
f8:6b:d9:95:d8:87:,UTTetudiants,-65,2026-02-10 15:04:29
f8:6b:d9:95:d8:87:,UTTetudiants,-81,2026-02-10 15:04:29
f8:6b:d9:95:d8:87:,UTTetudiants,-65,2026-02-10 15:04:29
f8:6b:d9:95:d8:87:,UTTetudiants,-65,2026-02-10 15:04:32
f8:6b:d9:95:d8:87:,UTTetudiants,-76,2026-02-10 15:04:32
f8:6b:d9:95:d8:87:,UTTetudiants,-65,2026-02-10 15:04:32
f8:6b:d9:95:d8:87:,UTTetudiants,-71,2026-02-10 15:04:35
f8:6b:d9:95:d8:87:,UTTetudiants,-76,2026-02-10 15:04:35
f8:6b:d9:95:d8:87:,UTTetudiants,-71,2026-02-10 15:04:35
f8:6b:d9:95:d8:87:,UTTetudiants,-65,2026-02-10 15:04:41
f8:6b:d9:95:d8:87:,UTTetudiants,-78,2026-02-10 15:04:41
f8:6b:d9:95:d8:87:,UTTetudiants,-65,2026-02-10 15:04:41
f8:6b:d9:95:d8:87:,UTTetudiants,-63,2026-02-10 15:04:44
f8:6b:d9:95:d8:87:,UTTetudiants,-78,2026-02-10 15:04:44
f8:6b:d9:95:d8:87:,UTTetudiants,-63,2026-02-10 15:04:44
f8:6b:d9:95:d8:87:,UTTetudiants,-63,2026-02-10 15:04:47
f8:6b:d9:95:d8:87:,UTTetudiants,-70,2026-02-10 15:04:47
f8:6b:d9:95:d8:87:,UTTetudiants,-63,2026-02-10 15:04:47
f8:6b:d9:95:d8:87:,UTTetudiants,-61,2026-02-10 15:04:50
f8:6b:d9:95:d8:87:,UTTetudiants,-70,2026-02-10 15:04:50
f8:6b:d9:95:d8:87:,UTTetudiants,-61,2026-02-10 15:04:50
f8:6b:d9:95:d8:87:,UTTetudiants,-69,2026-02-10 15:04:56
f8:6b:d9:95:d8:87:,UTTetudiants,-71,2026-02-10 15:04:56
f8:6b:d9:95:d8:87:,UTTetudiants,-69,2026-02-10 15:04:56
f8:6b:d9:95:d8:87:,UTTetudiants,-58,2026-02-10 15:04:59
f8:6b:d9:95:d8:87:,UTTetudiants,-71,2026-02-10 15:04:59
