BSSID,SSID,RSSI(dBm),Time
de:4d:df:1f:8d:fd:,iPhone de Virgile,-50,2026-02-10 15:40:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-50,2026-02-10 15:40:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-70,2026-02-10 15:40:50
de:4d:df:1f:8d:fd:,iPhone de Virgile,-70,2026-02-10 15:40:50
de:4d:df:1f:8d:fd:,iPhone de Virgile,-70,2026-02-10 15:40:54
de:4d:df:1f:8d:fd:,iPhone de Virgile,-70,2026-02-10 15:40:54
de:4d:df:1f:8d:fd:,iPhone de Virgile,-76,2026-02-10 15:40:57
de:4d:df:1f:8d:fd:,iPhone de Virgile,-76,2026-02-10 15:40:57
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:41:03
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:41:03
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:41:06
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:41:06
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 15:41:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 15:41:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 15:41:14
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 15:41:14
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:41:20
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:41:20
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:41:24
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:41:24
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:41:27
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:41:27
de:4d:df:1f:8d:fd:,iPhone de Virgile,-63,2026-02-10 15:41:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-63,2026-02-10 15:41:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-51,2026-02-10 15:41:38
de:4d:df:1f:8d:fd:,iPhone de Virgile,-51,2026-02-10 15:41:38
de:4d:df:1f:8d:fd:,iPhone de Virgile,-52,2026-02-10 15:41:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-52,2026-02-10 15:41:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 15:41:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 15:41:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:41:51
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:41:51
de:4d:df:1f:8d:fd:,iPhone de Virgile,-54,2026-02-10 15:42:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-54,2026-02-10 15:42:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 15:42:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 15:42:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 15:42:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 15:42:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-63,2026-02-10 15:42:14
de:4d:df:1f:8d:fd:,iPhone de Virgile,-63,2026-02-10 15:42:14
de:4d:df:1f:8d:fd:,iPhone de Virgile,-64,2026-02-10 15:42:23
de:4d:df:1f:8d:fd:,iPhone de Virgile,-64,2026-02-10 15:42:23
de:4d:df:1f:8d:fd:,iPhone de Virgile,-67,2026-02-10 15:42:27
de:4d:df:1f:8d:fd:,iPhone de Virgile,-67,2026-02-10 15:42:27
de:4d:df:1f:8d:fd:,iPhone de Virgile,-67,2026-02-10 15:42:30
de:4d:df:1f:8d:fd:,iPhone de Virgile,-67,2026-02-10 15:42:30
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 15:42:34
