BSSID,SSID,RSSI(dBm),Time
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:03:51
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:03:51
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:03:51
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:03:54
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:03:54
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:03:54
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:03:57
e4:aa:5d:bf:25:57:,UTTetudiants,-81,2026-04-30 11:03:57
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:03:57
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:00
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:00
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:00
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:02
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:02
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:02
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:05
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:05
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:05
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:08
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:08
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:08
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:11
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:11
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:11
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:14
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:14
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:14
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:18
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:18
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:18
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:21
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:21
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:21
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:24
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:24
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:24
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:27
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:27
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:27
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:29
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:29
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:29
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:32
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:32
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:32
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:36
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:36
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:36
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:43
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:43
e4:aa:5d:bf:25:57:,UTTetudiants,-86,2026-04-30 11:04:43
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:04:46
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:46
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:04:46
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:04:49
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:49
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:04:49
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:04:53
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:53
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:04:53
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:04:57
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:04:57
e4:aa:5d:bf:25:57:,UTTetudiants,-85,2026-04-30 11:04:57
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:05:00
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:05:00
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:05:00
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:05:04
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:05:04
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:05:04
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:05:48
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:05:48
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:05:48
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:05:51
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:05:51
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:05:51
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:05:54
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:05:54
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:05:54
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:05:57
e4:aa:5d:bf:25:57:,UTTetudiants,-87,2026-04-30 11:05:57
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:05:57
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:02
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:02
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:07
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:07
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:10
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:10
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:13
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:13
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:16
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:16
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:19
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:19
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:22
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:22
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:25
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:06:25
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:27
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:27
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:30
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:30
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:33
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:33
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:36
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:36
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:40
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:40
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:43
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:43
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:46
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:46
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:49
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:49
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:52
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:52
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:56
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:56
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:58
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:06:58
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:07:02
e4:aa:5d:bf:25:57:,UTTetudiants,-88,2026-04-30 11:07:02
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:07:05
e4:aa:5d:bf:25:57:,UTTetudiants,-84,2026-04-30 11:07:05
