X,Y,AC:2A:A1:7E:DF:61,AC:2A:A1:7E:DF:62,AC:2A:A1:7E:DF:65,AC:2A:A1:7E:DF:67,AC:2A:A1:7E:DF:68,AC:2A:A1:7E:DF:6A,AC:2A:A1:7E:DF:6D,AC:2A:A1:7E:DF:6E,E4:AA:5D:BF:25:51,E4:AA:5D:BF:25:52,E4:AA:5D:BF:25:55,E4:AA:5D:BF:25:57,E4:AA:5D:BF:25:58,E4:AA:5D:BF:25:5A,E4:AA:5D:BF:25:5D,E4:AA:5D:BF:25:5E,E4:AA:5D:FD:3E:E1,E4:AA:5D:FD:3E:E2,E4:AA:5D:FD:3E:E5,E4:AA:5D:FD:3E:E7,E4:AA:5D:FD:3E:E8,E4:AA:5D:FD:3E:EA,F8:6B:D9:01:85:21,F8:6B:D9:01:85:22,F8:6B:D9:01:85:25,F8:6B:D9:01:85:27,F8:6B:D9:01:85:28,F8:6B:D9:01:85:2A,F8:6B:D9:01:85:2D,F8:6B:D9:01:85:2E,F8:6B:D9:01:8E:E1,F8:6B:D9:01:8E:E2,F8:6B:D9:01:8E:E5,F8:6B:D9:01:8E:E7,F8:6B:D9:01:8E:E8,F8:6B:D9:01:8E:EA,F8:6B:D9:01:8E:ED,F8:6B:D9:01:8E:EE,F8:6B:D9:01:93:61,F8:6B:D9:01:93:62,F8:6B:D9:01:93:65,F8:6B:D9:01:93:67,F8:6B:D9:01:93:68,F8:6B:D9:01:93:6A,F8:6B:D9:95:D8:81,F8:6B:D9:95:D8:82,F8:6B:D9:95:D8:85,F8:6B:D9:95:D8:87,F8:6B:D9:95:D8:88,F8:6B:D9:95:D8:8A,F8:6B:D9:95:D8:8D,F8:6B:D9:95:D8:8E
0.0,0.0,-75.5,-75.5,-73.5,-73.625,-73.625,-73.5,-71.5,-71.5,0.0,0.0,0.0,0.0,0.0,-93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.5,0.0,0.0,0.0,0.0,0.0,-92.5,0.0,0.0,-57.0,-57.0,-57.625,-55.625,-56.125,-55.875,-57.75,-57.75,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,-81.5,-83.75,-81.75,-82.375,-81.875,-84.25,-84.25
0.0,1.0,-75.75,-75.75,-74.125,-74.5,-74.375,-74.375,-73.0,-73.0,-92.5,-92.5,0.0,0.0,-93.0,-92.5,0.0,0.0,0.0,-95.0,-94.0,-95.0,0.0,0.0,-90.0,-90.0,-91.5,-89.0,-90.0,-90.0,0.0,0.0,-60.0,-60.0,-59.375,-59.375,-61.875,-62.5,-60.75,-61.25,0.0,0.0,0.0,0.0,0.0,0.0,-81.5,-79.5,-82.25,-81.625,-81.5,-82.0,-84.5,-85.0
1.0,1.0,-74.9,-75.1,-74.25,-74.3,-74.325,-74.025,-74.3,-73.5,-91.9,-94.0,-91.1,-92.5,-92.1,-92.5,0.0,0.0,-92.5,-93.65,-93.5,-95.0,-91.5,-92.33333333333333,-91.5,-88.8,-90.15,-89.0,-89.6,-90.1,0.0,0.0,-57.85,-57.85,-58.45,-57.9,-57.9,-57.8,-58.8,-59.4,0.0,0.0,0.0,0.0,0.0,0.0,-75.9,-76.1,-80.0,-82.175,-81.1,-82.025,-84.0,-83.85
2.0,1.0,-76.5,-78.25,-76.75,-74.375,-74.625,-74.375,-70.5,-70.5,-93.0,-92.25,-93.0,-93.0,-93.0,-90.0,0.0,0.0,-87.5,-88.0,-89.0,-88.0,-88.0,-89.0,-91.5,-88.0,-90.5,-90.5,-87.5,-90.0,0.0,0.0,-56.0,-56.0,-57.375,-57.125,-57.125,-56.625,-57.75,-57.5,0.0,0.0,0.0,0.0,0.0,0.0,-79.0,-80.25,-80.125,-80.625,-80.875,-80.375,-82.25,-82.25
3.0,1.0,-80.5,-80.5,-74.25,-75.5,-76.0,-75.75,-69.0,-71.0,-89.0,-90.0,-89.0,-89.0,-89.0,-90.0,0.0,0.0,-87.5,-88.0,-89.0,-88.0,-88.0,-89.0,0.0,-90.5,0.0,0.0,-87.5,0.0,0.0,0.0,-60.75,-60.75,-58.875,-56.75,-57.0,-56.75,-59.0,-58.5,0.0,0.0,0.0,0.0,0.0,0.0,-80.0,-81.5,-85.25,-83.75,-84.0,-81.875,-85.25,-85.75
4.0,1.0,-70.3,-70.3,-70.52941176470588,-70.35,-70.4,-70.35,-70.5,-70.0,-94.0,-94.0,-93.3,-94.0,-94.0,0.0,0.0,0.0,-89.0,-90.0,0.0,0.0,-92.5,-89.0,-90.0,-89.0,-90.0,-89.0,-90.0,-89.71428571428571,0.0,0.0,-58.15,-58.65,-58.80555555555556,-59.69444444444444,-59.25,-59.125,-61.55,-61.35,0.0,0.0,0.0,0.0,0.0,0.0,-80.8,-77.8,-80.86666666666666,-81.725,-81.475,-82.025,-83.55,-83.15
4.0,0.0,-77.0,-79.0,-75.0,-74.375,-75.5,-74.625,-72.0,-72.0,0.0,0.0,-93.0,-94.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.5,-94.0,-90.0,-89.0,-91.5,-89.0,-90.0,-89.0,0.0,0.0,-57.5,-60.0,-65.0,-62.875,-63.0,-62.0,-59.5,-59.5,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,-74.5,-78.375,-80.625,-80.625,-80.25,-83.0,-82.75
3.0,0.0,-80.0,-80.0,-76.5,-75.375,-75.375,-75.125,-70.75,-70.75,0.0,0.0,-93.0,-94.0,-94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0,-94.0,-90.0,-89.0,-91.5,-89.0,-90.0,-89.0,0.0,0.0,-61.0,-61.0,-59.75,-60.875,-60.375,-62.625,-59.25,-59.25,0.0,0.0,0.0,0.0,0.0,0.0,-74.0,-74.0,-79.0,-82.25,-81.875,-81.625,-84.0,-85.25
2.0,0.0,-74.0,-74.0,-74.375,-74.25,-74.625,-74.375,-75.25,-74.5,-90.0,-92.75,-95.0,-94.0,-92.5,-92.25,0.0,0.0,0.0,-89.0,-91.5,0.0,-90.0,0.0,-91.5,-90.5,-90.0,-93.0,0.0,0.0,0.0,0.0,-57.5,-60.5,-60.125,-60.125,-59.875,-61.5,-60.0,-60.0,0.0,0.0,0.0,0.0,0.0,0.0,-79.5,-80.75,-83.375,-84.625,-82.75,-82.75,-85.5,-85.5
1.0,0.0,-73.0,-73.0,-73.625,-73.125,-73.625,-73.625,-73.75,-73.25,-89.0,-91.5,-95.0,-90.0,-90.0,-89.0,0.0,0.0,-90.5,-90.5,-91.5,0.0,-90.0,-90.5,-90.0,-90.5,-90.0,-93.0,0.0,0.0,0.0,0.0,-59.5,-60.25,-59.75,-59.25,-59.75,-59.0,-59.0,-58.5,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,-78.0,-81.75,-80.375,-80.5,-80.875,-84.5,-84.0
-1.0,2.0,-73.0,-73.0,-71.0,-71.875,-72.875,-71.625,-70.25,-70.25,-92.5,-92.5,-91.5,-92.5,-91.5,-89.0,0.0,0.0,-85.0,-90.5,-85.0,-85.0,-90.0,-90.5,-89.0,-89.0,-90.0,-89.0,0.0,0.0,0.0,0.0,-61.5,-61.0,-59.75,-59.75,-60.5,-59.0,-57.25,-57.25,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,-75.5,-82.125,-81.5,-80.16666666666667,-82.125,-82.5,-85.0
0.0,2.0,-69.5,-69.6,-70.375,-72.1,-72.125,-72.0,-73.8,-73.8,-91.5,-92.5,-94.0,-94.0,-92.5,0.0,0.0,0.0,-90.5,-91.5,-86.65,-91.5,-91.5,-91.5,-88.25,-89.3,-90.0,-89.0,0.0,0.0,0.0,0.0,-63.0,-60.5,-59.5,-58.875,-58.625,-58.325,-57.0,-56.5,0.0,0.0,0.0,0.0,0.0,0.0,-78.5,-74.75,-81.23529411764706,-81.75,-81.75,-84.025,-87.3,-86.7
1.0,2.0,-72.5,-72.5,-72.0,-72.25,-72.25,-72.25,-72.0,-72.0,-90.25,-88.0,-90.25,-90.25,-90.25,-90.0,0.0,0.0,-86.5,0.0,-89.0,-90.0,0.0,-90.5,-91.5,-90.0,-88.0,-89.0,-89.75,-89.25,0.0,0.0,-50.75,-50.75,-55.625,-55.0,-55.0,-51.25,-52.5,-52.5,0.0,0.0,0.0,0.0,0.0,0.0,-81.5,-81.5,-83.25,-83.25,-83.25,-81.875,-84.0,-84.75
2.0,2.0,-71.25,-71.5,-71.34210526315789,-70.975,-71.225,-71.05,-68.0,-68.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,-89.0,-88.0,-89.0,-89.0,-88.0,-89.0,-91.4,-91.5,-91.5,-91.5,-91.5,-90.25,0.0,0.0,-53.25,-52.75,-55.0,-54.666666666666664,-54.93333333333333,-52.625,-54.15,-53.35,0.0,0.0,0.0,0.0,0.0,0.0,-79.1,-79.1,-81.90625,-83.175,-83.0,-82.95,-87.3,-86.9
