bssid_a,bssid_b,r
ac:2a:a1:7e:df:61,ac:2a:a1:7e:df:68,0.965
ac:2a:a1:7e:df:61,ac:2a:a1:7e:df:67,0.979
ac:2a:a1:7e:df:61,ac:2a:a1:7e:df:62,0.968
ac:2a:a1:7e:df:68,ac:2a:a1:7e:df:67,0.983
ac:2a:a1:7e:df:68,ac:2a:a1:7e:df:62,0.953
ac:2a:a1:7e:df:68,ac:2a:a1:7e:df:6e,0.919
ac:2a:a1:7e:df:68,ac:2a:a1:7e:df:6d,0.911
ac:2a:a1:7e:df:67,ac:2a:a1:7e:df:62,0.973
e4:aa:5d:bf:25:58,e4:aa:5d:bf:25:51,0.95
e4:aa:5d:bf:25:58,e4:aa:5d:bf:25:52,0.951
e4:aa:5d:bf:25:58,e4:aa:5d:fd:3e:e7,0.919
e4:aa:5d:bf:25:58,e4:aa:5d:bf:25:57,0.979
e4:aa:5d:bf:25:58,e4:aa:5d:fd:3e:e8,0.925
e4:aa:5d:bf:25:58,e4:aa:5d:fd:3e:e2,0.916
e4:aa:5d:bf:25:58,e4:aa:5d:fd:3e:e1,0.911
e4:aa:5d:bf:25:58,e4:aa:5d:bf:25:5a,0.97
e4:aa:5d:bf:25:58,e4:aa:5d:bf:25:5e,0.967
e4:aa:5d:bf:25:58,e4:aa:5d:bf:25:55,0.955
e4:aa:5d:bf:25:58,e4:aa:5d:bf:25:5d,0.961
e4:aa:5d:bf:25:51,e4:aa:5d:bf:25:52,0.991
e4:aa:5d:bf:25:51,e4:aa:5d:fd:3e:e7,0.913
e4:aa:5d:bf:25:51,e4:aa:5d:bf:25:57,0.974
e4:aa:5d:bf:25:51,e4:aa:5d:fd:3e:e8,0.917
e4:aa:5d:bf:25:51,e4:aa:5d:fd:3e:e2,0.91
e4:aa:5d:bf:25:51,e4:aa:5d:fd:3e:e1,0.902
e4:aa:5d:bf:25:51,e4:aa:5d:bf:25:5a,0.905
e4:aa:5d:bf:25:51,e4:aa:5d:bf:25:5e,0.901
e4:aa:5d:bf:25:51,e4:aa:5d:bf:25:55,0.901
e4:aa:5d:bf:25:52,e4:aa:5d:fd:3e:e7,0.911
e4:aa:5d:bf:25:52,e4:aa:5d:bf:25:57,0.972
e4:aa:5d:bf:25:52,e4:aa:5d:fd:3e:e8,0.915
e4:aa:5d:bf:25:52,e4:aa:5d:fd:3e:e2,0.907
e4:aa:5d:bf:25:52,e4:aa:5d:fd:3e:e1,0.901
e4:aa:5d:bf:25:52,e4:aa:5d:bf:25:5a,0.906
e4:aa:5d:bf:25:52,e4:aa:5d:bf:25:5e,0.902
e4:aa:5d:bf:25:52,e4:aa:5d:bf:25:55,0.907
e4:aa:5d:fd:3e:e7,e4:aa:5d:bf:25:57,0.937
e4:aa:5d:fd:3e:e7,e4:aa:5d:fd:3e:e8,0.979
e4:aa:5d:fd:3e:e7,e4:aa:5d:fd:3e:e2,0.977
e4:aa:5d:fd:3e:e7,e4:aa:5d:fd:3e:ea,0.93
e4:aa:5d:fd:3e:e7,e4:aa:5d:fd:3e:e1,0.979
e4:aa:5d:fd:3e:e7,e4:aa:5d:bf:25:5a,0.907
e4:aa:5d:fd:3e:e7,e4:aa:5d:bf:25:5e,0.901
e4:aa:5d:fd:3e:e7,e4:aa:5d:fd:3e:e5,0.917
f8:6b:d9:01:93:68,f8:6b:d9:01:93:67,0.985
f8:6b:d9:01:93:68,f8:6b:d9:01:93:6a,0.969
f8:6b:d9:01:93:68,f8:6b:d9:01:93:62,0.948
f8:6b:d9:01:93:68,f8:6b:d9:01:93:6e,0.986
f8:6b:d9:01:93:68,f8:6b:d9:01:93:61,0.94
f8:6b:d9:01:93:68,f8:6b:d9:01:93:6d,0.982
f8:6b:d9:01:93:68,f8:6b:d9:01:93:65,0.925
e4:aa:5d:bf:25:57,e4:aa:5d:fd:3e:e8,0.944
e4:aa:5d:bf:25:57,e4:aa:5d:fd:3e:e2,0.935
e4:aa:5d:bf:25:57,e4:aa:5d:fd:3e:e1,0.929
e4:aa:5d:bf:25:57,e4:aa:5d:bf:25:5a,0.96
e4:aa:5d:bf:25:57,e4:aa:5d:bf:25:5e,0.956
e4:aa:5d:bf:25:57,e4:aa:5d:bf:25:55,0.938
e4:aa:5d:bf:25:57,e4:aa:5d:bf:25:5d,0.948
e4:aa:5d:fd:3e:e8,e4:aa:5d:fd:3e:e2,0.977
e4:aa:5d:fd:3e:e8,e4:aa:5d:fd:3e:ea,0.928
e4:aa:5d:fd:3e:e8,e4:aa:5d:fd:3e:e1,0.972
e4:aa:5d:fd:3e:e8,e4:aa:5d:bf:25:5a,0.916
e4:aa:5d:fd:3e:e8,e4:aa:5d:bf:25:5e,0.908
e4:aa:5d:fd:3e:e8,e4:aa:5d:fd:3e:e5,0.922
e4:aa:5d:fd:3e:e2,e4:aa:5d:fd:3e:ea,0.936
