network,importance,type,ssid
46:82:04:7e:79:0c,0.02205507844874277,ephemere,s24 ultra de killian
de:4d:df:1f:8d:fd,0.02108560971991976,ephemere,iphone de virgile
e4:aa:5d:fd:3e:ee,0.017026879037294974,stable,utt
e4:aa:5d:fd:3e:ed,0.01656811645308496,stable,eduroam
70:61:7b:e9:ac:28,0.016341552093364783,stable,uttetudiants
f8:6b:d9:01:93:67,0.015974571167399913,stable,uttetudiants
02:9a:e5:b1:29:3d,0.015932925289254947,ephemere,penâs iphone
f8:6b:d9:95:d8:88,0.015805642663449117,stable,uttetudiants
f8:6b:d9:01:8e:e2,0.015749067670456668,stable,eduroam
b2:60:88:2b:8c:b6,0.015650897456119056,autre,direct-zzp-beltramellitggp
ac:2a:a1:7e:df:6d,0.015539661491141474,stable,eduroam
f8:6b:d9:95:d8:8d,0.015132492173607182,stable,eduroam
f8:6b:d9:95:d8:82,0.015010010149494723,stable,eduroam
f8:6b:d9:5e:10:c7,0.014618934755866786,stable,uttetudiants
f8:6b:d9:95:d8:8e,0.013917905907579657,stable,utt
f8:6b:d9:01:93:68,0.013583331711154249,stable,uttetudiants
70:61:7b:e9:ac:27,0.01352560227961997,stable,uttetudiants
f8:6b:d9:01:8e:e7,0.013459550572293682,stable,uttetudiants
84:b2:61:08:fc:c5,0.013276768427366095,autre,hidden
e4:aa:5d:bf:25:5e,0.013104313356590314,stable,utt
e4:aa:5d:fd:3e:e7,0.012868814981738813,stable,uttetudiants
84:b2:61:1f:b5:32,0.01267877167962432,stable,eduroam
f8:6b:d9:01:93:65,0.012084516791946671,autre,hidden
f8:6b:d9:95:d8:87,0.011993333021962423,stable,uttetudiants
f8:6b:d9:01:8e:ea,0.01154948000762357,autre,hidden
f8:6b:d9:95:d8:85,0.01145780608199717,autre,hidden
f8:6b:d9:01:85:22,0.011443196724237152,stable,eduroam
70:61:7b:e9:ac:25,0.011374006081075505,autre,hidden
84:b2:61:1f:b5:37,0.01127147107912068,stable,uttetudiants
e4:aa:5d:fd:3e:ea,0.011262201621576165,autre,hidden
f8:6b:d9:01:93:6a,0.011185634991355204,autre,dt-cyber
84:b2:61:1f:b5:3a,0.011173202133347333,autre,hidden
f8:6b:d9:5e:10:c1,0.010964869074096885,stable,utt
f8:6b:d9:01:85:2a,0.010637640484548818,autre,hidden
f8:6b:d9:5e:10:c2,0.010543110303233917,stable,eduroam
84:b2:61:08:fc:ce,0.010486793979833207,stable,utt
ac:2a:a1:7e:df:65,0.010309079006565941,autre,dt-cyber
70:61:7b:e9:ac:2a,0.010293805033691265,autre,hidden
e4:aa:5d:bf:25:57,0.010232652515833305,stable,uttetudiants
e4:aa:5d:bf:25:58,0.01010239132893925,stable,uttetudiants
ac:2a:a1:7e:df:6e,0.010087195164510477,stable,utt
70:61:7b:e9:ac:2e,0.010070394025205882,stable,utt
84:b2:61:08:fc:c8,0.01002749447143856,stable,uttetudiants
70:61:7b:e9:ac:2d,0.00994223208267914,stable,eduroam
e4:aa:5d:fd:3e:e8,0.009767692930453813,stable,uttetudiants
f8:6b:d9:01:8e:e8,0.009667106667260754,stable,uttetudiants
f8:6b:d9:01:85:28,0.009666265478810814,stable,uttetudiants
84:b2:61:1f:b5:38,0.00965848515047711,stable,uttetudiants
84:b2:61:1f:b5:31,0.009651481773021114,stable,utt
f8:6b:d9:5e:10:c8,0.0093770991426548,stable,uttetudiants
f8:6b:d9:01:85:25,0.009302139663495664,autre,hidden
ac:2a:a1:7e:df:67,0.00920588010791024,stable,uttetudiants
84:b2:61:1f:b5:35,0.009042875177643916,autre,dt-cyber
e4:aa:5d:bf:25:5a,0.009006046720549547,autre,dt-cyber
ac:2a:a1:7e:df:6a,0.00885201601131582,autre,dt-cyber
f8:6b:d9:01:85:2e,0.008830783930005713,stable,utt
ac:2a:a1:7e:df:68,0.008783253897367636,stable,uttetudiants
84:b2:61:1f:b5:3e,0.008671254195632727,stable,utt
f8:6b:d9:01:8e:e1,0.008486155002423907,stable,utt
e4:aa:5d:bf:25:55,0.008432498545592837,autre,hidden
e4:aa:5d:bf:25:5d,0.008272637830935242,stable,eduroam
f8:6b:d9:5e:10:ca,0.008272227727379823,autre,hidden
84:b2:61:1f:b5:3d,0.008219922340982348,stable,eduroam
f8:6b:d9:01:8e:ed,0.00816139921975201,stable,eduroam
f8:6b:d9:01:93:61,0.008148233431691156,stable,utt
f8:6b:d9:01:85:2d,0.00812086630358861,stable,eduroam
f8:6b:d9:01:8e:ee,0.008034042812625632,stable,utt
f8:6b:d9:01:8e:e5,0.0079155692160809,autre,hidden
ac:2a:a1:7e:df:62,0.007832874206422534,stable,eduroam
84:b2:61:08:fc:c7,0.007746465487002061,stable,uttetudiants
f8:6b:d9:5e:10:c5,0.007590374074112098,autre,dt-cyber
f8:6b:d9:5e:10:ce,0.007457902853621545,stable,utt
f8:6b:d9:01:93:6d,0.007457831095224739,stable,eduroam
f8:6b:d9:01:85:27,0.007262664106318355,stable,uttetudiants
f8:6b:d9:01:93:6e,0.0072098155695785125,stable,utt
f8:6b:d9:95:d8:81,0.00706419407144447,stable,utt
70:61:7b:e9:ac:21,0.006960009391160683,stable,utt
e4:aa:5d:fd:3e:e1,0.006924491856752039,stable,utt
84:b2:61:08:fc:c1,0.006819388469319157,stable,utt
f8:6b:d9:01:85:21,0.0066322611135914665,stable,utt
62:b2:72:35:5d:b2,0.006383147448546218,ephemere,iphone de nathan marã©chal
70:61:7b:e9:ac:22,0.0063547548692444306,stable,eduroam
e4:aa:5d:fd:3e:e2,0.005912181471034556,stable,eduroam
6e:f1:ad:c1:35:c6,0.0058725548097240295,ephemere,iphone de virgile
f8:6b:d9:95:d8:8a,0.00579944673364129,autre,hidden
84:b2:61:08:fc:cd,0.005790035061004335,stable,eduroam
f8:6b:d9:5e:10:cd,0.0057780792696541855,stable,eduroam
36:2d:4b:a8:41:e6,0.005596611925130029,autre,!
f8:6b:d9:01:93:62,0.005317617621678648,stable,eduroam
84:b2:61:08:fc:ca,0.005188135475710244,autre,hidden
e4:aa:5d:bf:25:52,0.0050714780284138025,stable,eduroam
e4:aa:5d:bf:25:51,0.004985434201710982,stable,utt
84:b2:61:08:fc:c2,0.0048442086066282615,stable,eduroam
e4:aa:5d:fd:3e:e5,0.0028369784171773183,autre,dt-cyber
ac:2a:a1:7e:df:61,0.0027367519678936116,stable,utt
62:f2:62:01:71:e2,0.002694295552508384,autre,direct-jap-berthierhymt
ac:2a:a1:7f:6c:cd,0.0017367530677520702,stable,eduroam
ac:2a:a1:7f:6c:ce,0.0014633282357669475,stable,utt
ac:2a:a1:7f:6c:c8,0.0014419248167180621,stable,uttetudiants
ac:2a:a1:7f:6c:c7,0.001384062520417784,stable,uttpersonnels
ac:2a:a1:7f:6c:c5,0.0013671091494789577,autre,hidden
ac:2a:a1:7f:6c:ca,0.001048973208938335,autre,dt-cyber
ae:e9:d7:12:72:3f,0.0004845285818874486,ephemere,penâs iphone
2e:b7:90:3d:c0:b3,0.0,ephemere,iphone de nathan marã©chal
