,precision,recall,f1-score,support
P101A,1.0,0.3333333333333333,0.5,12.0
P101B,0.68,1.0,0.8095238095238095,17.0
P102A,0.5757575757575758,0.76,0.6551724137931034,25.0
P102B,0.5714285714285714,0.36363636363636365,0.4444444444444444,22.0
P103A,0.4,1.0,0.5714285714285714,10.0
PALIER1ER,1.0,1.0,1.0,23.0
PALIER2E,1.0,1.0,1.0,21.0
S101A,0.4444444444444444,0.46153846153846156,0.4528301886792453,26.0
S101B,0.0,0.0,0.0,15.0
S102A,0.6923076923076923,1.0,0.8181818181818182,18.0
S102B,1.0,0.4666666666666667,0.6363636363636364,15.0
S103B,0.6666666666666666,1.0,0.8,22.0
S104,0.90625,1.0,0.9508196721311475,29.0
S202A,0.55,0.6470588235294118,0.5945945945945946,17.0
S202B,0.5,0.47058823529411764,0.48484848484848486,17.0
S203A,1.0,0.15789473684210525,0.2727272727272727,19.0
S203B,0.5,0.9411764705882353,0.6530612244897959,17.0
S204A,0.7619047619047619,1.0,0.8648648648648649,16.0
S204B,0.9166666666666666,0.6875,0.7857142857142857,16.0
couloirB,0.7692307692307693,1.0,0.8695652173913043,10.0
couloirB(2e),1.0,0.8076923076923077,0.8936170212765957,26.0
couloirPbasA,1.0,0.7333333333333333,0.8461538461538461,15.0
couloirPbasB,0.6,0.2857142857142857,0.3870967741935484,21.0
pallierPbas,1.0,1.0,1.0,22.0
accuracy,0.720620842572062,0.720620842572062,0.720620842572062,0.720620842572062
macro avg,0.7306107145169646,0.713172209090359,0.6787920058666822,451.0
weighted avg,0.740553945007936,0.720620842572062,0.693232935043031,451.0
