config,modele,MAE_m,med_m,p90_m,R2_x,R2_y
fill=0 | top-25 BSSID,ExtraTrees,1.294,1.178,2.381,0.38,0.89
fill=0 | top-25 BSSID,GradBoost,1.3,1.145,2.638,0.364,0.87
fill=0 | 52 BSSID,ExtraTrees,1.301,1.148,2.376,0.382,0.875
fill=-100 | 52 BSSID,ExtraTrees,1.301,1.148,2.376,0.382,0.875
fill=0 | top-35 BSSID,ExtraTrees,1.302,1.116,2.385,0.385,0.871
fill=0 | top-15 BSSID,ExtraTrees,1.323,1.222,2.615,0.292,0.895
fill=0 | 52 BSSID,GP (RBF),1.432,1.225,2.37,0.528,0.703
fill=-100 | 52 BSSID,GP (RBF),1.432,1.225,2.37,0.528,0.703
fill=0 | top-15 BSSID,kNN k=3 (dist),1.437,1.257,2.642,0.238,0.868
fill=0 | top-25 BSSID,RandomForest,1.443,1.289,2.51,0.348,0.79
fill=0 | top-15 BSSID,GP (RBF),1.446,1.291,2.583,0.357,0.812
fill=0 | top-35 BSSID,GP (RBF),1.456,1.223,2.602,0.522,0.683
fill=0 | top-15 BSSID,kNN k=5 (dist),1.462,1.297,2.844,0.227,0.87
fill=0 | top-25 BSSID,GP (RBF),1.473,1.309,2.831,0.349,0.762
fill=0 | top-35 BSSID,GradBoost,1.474,1.16,2.847,0.126,0.852
fill=0 | top-15 BSSID,GradBoost,1.475,1.206,2.964,0.017,0.885
fill=0 | top-35 BSSID,RandomForest,1.481,1.325,2.7,0.299,0.774
fill=-100 | 52 BSSID,RandomForest,1.498,1.301,2.776,0.303,0.764
fill=0 | 52 BSSID,RandomForest,1.498,1.301,2.776,0.303,0.764
fill=0 | top-15 BSSID,RandomForest,1.511,1.378,2.593,0.27,0.798
fill=-100 | 52 BSSID,kNN k=3 (dist),1.53,1.345,2.409,0.334,0.651
fill=0 | 52 BSSID,kNN k=3 (dist),1.53,1.345,2.409,0.334,0.651
fill=0 | 52 BSSID,GradBoost,1.533,1.27,3.093,0.01,0.857
fill=-100 | 52 BSSID,GradBoost,1.533,1.27,3.093,0.01,0.857
fill=0 | top-25 BSSID,kNN k=3 (dist),1.546,1.324,2.514,0.391,0.611
fill=0 | top-35 BSSID,kNN k=5 (dist),1.573,1.177,3.025,0.415,0.607
fill=0 | top-25 BSSID,kNN k=5 (dist),1.604,1.367,2.96,0.278,0.634
fill=0 | top-35 BSSID,kNN k=3 (dist),1.614,1.362,2.767,0.307,0.629
fill=0 | 52 BSSID,kNN k=5 (dist),1.639,1.252,2.636,0.221,0.651
fill=-100 | 52 BSSID,kNN k=5 (dist),1.639,1.252,2.636,0.221,0.651
