BSSID,SSID,RSSI(dBm),Time
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:25:47
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:25:47
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:25:50
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:25:50
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:25:53
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:25:53
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:25:58
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:25:58
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:26:01
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:26:01
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:26:04
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:26:04
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:26:07
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:26:07
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:26:10
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:26:10
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:26:14
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:26:14
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:26:17
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:26:17
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:26:20
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:26:20
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:26:25
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:26:25
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:26:30
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:26:30
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:26:34
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:26:34
84:b2:61:1f:b5:37:,UTTetudiants,-74,2026-02-13 10:26:40
84:b2:61:1f:b5:37:,UTTetudiants,-74,2026-02-13 10:26:40
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:26:43
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:26:43
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:26:47
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:26:47
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:26:51
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:26:51
84:b2:61:1f:b5:37:,UTTetudiants,-72,2026-02-13 10:26:59
84:b2:61:1f:b5:37:,UTTetudiants,-72,2026-02-13 10:26:59
84:b2:61:1f:b5:37:,UTTetudiants,-72,2026-02-13 10:27:01
84:b2:61:1f:b5:37:,UTTetudiants,-72,2026-02-13 10:27:01
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:27:04
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:27:04
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:27:07
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:27:07
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:27:10
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:27:10
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:27:13
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:27:13
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:27:16
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:27:16
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:27:20
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:27:20
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:27:24
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:27:24
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:27:27
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:27:27
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:27:31
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:27:31
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:27:34
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:27:34
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:27:37
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:27:37
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:27:41
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:27:41
84:b2:61:1f:b5:37:,UTTetudiants,-86,2026-02-13 10:27:44
84:b2:61:1f:b5:37:,UTTetudiants,-86,2026-02-13 10:27:44
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:27:44
84:b2:61:1f:b5:37:,UTTetudiants,-74,2026-02-13 10:27:47
84:b2:61:1f:b5:37:,UTTetudiants,-74,2026-02-13 10:27:47
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:27:47
84:b2:61:1f:b5:37:,UTTetudiants,-74,2026-02-13 10:27:50
84:b2:61:1f:b5:37:,UTTetudiants,-74,2026-02-13 10:27:50
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:27:50
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:27:54
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:27:54
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:27:54
84:b2:61:1f:b5:37:,UTTetudiants,-66,2026-02-13 10:27:56
84:b2:61:1f:b5:37:,UTTetudiants,-66,2026-02-13 10:27:56
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:27:56
84:b2:61:1f:b5:37:,UTTetudiants,-66,2026-02-13 10:28:00
84:b2:61:1f:b5:37:,UTTetudiants,-66,2026-02-13 10:28:00
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:00
84:b2:61:1f:b5:37:,UTTetudiants,-73,2026-02-13 10:28:04
84:b2:61:1f:b5:37:,UTTetudiants,-73,2026-02-13 10:28:04
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:04
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:28:07
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:28:07
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:07
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:28:10
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:28:10
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:10
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:28:13
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:28:13
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:13
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:28:17
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:28:17
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:17
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:28:20
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:28:20
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:20
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:28:23
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:28:23
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:23
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:28:25
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:28:25
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:25
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:28:28
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:28:28
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:28
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:28:33
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:28:33
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:33
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:28:37
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:28:37
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:37
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:28:41
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:28:41
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:41
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:28:45
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:28:45
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:45
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:28:48
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:28:48
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:28:48
84:b2:61:1f:b5:37:,UTTetudiants,-69,2026-02-13 10:28:51
84:b2:61:1f:b5:37:,UTTetudiants,-69,2026-02-13 10:28:51
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:28:51
84:b2:61:1f:b5:37:,UTTetudiants,-68,2026-02-13 10:28:55
84:b2:61:1f:b5:37:,UTTetudiants,-68,2026-02-13 10:28:55
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:28:55
84:b2:61:1f:b5:37:,UTTetudiants,-68,2026-02-13 10:28:58
84:b2:61:1f:b5:37:,UTTetudiants,-68,2026-02-13 10:28:58
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:28:58
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:25:47
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:25:47
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:25:47
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:25:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:25:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:25:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:25:53
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:25:53
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:25:53
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:25:58
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:25:58
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:25:58
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:26:01
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:26:01
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:01
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:26:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:26:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-81,2026-02-13 10:26:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:26:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:26:14
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:26:14
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:26:14
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:26:17
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:26:17
f8:6b:d9:5e:10:c8:,UTTetudiants,-77,2026-02-13 10:26:17
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:26:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:26:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:26:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:26:25
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:26:25
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:26:25
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:26:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:26:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:26:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-80,2026-02-13 10:26:34
f8:6b:d9:5e:10:c8:,UTTetudiants,-80,2026-02-13 10:26:34
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:26:34
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:26:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:26:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:26:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:26:43
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:26:43
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:43
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:26:47
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:26:47
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:47
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:51
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:51
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 10:26:51
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:59
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:26:59
f8:6b:d9:5e:10:c8:,UTTetudiants,-77,2026-02-13 10:26:59
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:27:01
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:27:01
f8:6b:d9:5e:10:c8:,UTTetudiants,-77,2026-02-13 10:27:01
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:27:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:27:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:27:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:27:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:27:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 10:27:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:27:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:27:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 10:27:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 10:27:13
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 10:27:13
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:27:13
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 10:27:16
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 10:27:16
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:27:16
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 10:27:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 10:27:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:27:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:27:24
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:27:24
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:27:24
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:27:27
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:27:27
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:27:27
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 10:27:31
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 10:27:31
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:27:31
f8:6b:d9:5e:10:c8:,UTTetudiants,-80,2026-02-13 10:27:34
f8:6b:d9:5e:10:c8:,UTTetudiants,-80,2026-02-13 10:27:34
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:27:34
f8:6b:d9:5e:10:c8:,UTTetudiants,-80,2026-02-13 10:27:37
f8:6b:d9:5e:10:c8:,UTTetudiants,-80,2026-02-13 10:27:37
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:27:37
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:27:41
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:27:41
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:27:41
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:27:44
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:27:44
f8:6b:d9:5e:10:c8:,UTTetudiants,-65,2026-02-13 10:27:44
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:27:47
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:27:47
f8:6b:d9:5e:10:c8:,UTTetudiants,-70,2026-02-13 10:27:47
f8:6b:d9:5e:10:c8:,UTTetudiants,-77,2026-02-13 10:27:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-77,2026-02-13 10:27:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-70,2026-02-13 10:27:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:27:54
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:27:54
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:27:54
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:27:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:27:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:27:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:28:00
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:28:00
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:28:00
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:28:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:28:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:28:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:28:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:28:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:28:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:28:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:28:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:28:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-65,2026-02-13 10:28:13
f8:6b:d9:5e:10:c8:,UTTetudiants,-65,2026-02-13 10:28:13
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:28:13
f8:6b:d9:5e:10:c8:,UTTetudiants,-65,2026-02-13 10:28:17
f8:6b:d9:5e:10:c8:,UTTetudiants,-65,2026-02-13 10:28:17
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:28:17
f8:6b:d9:5e:10:c8:,UTTetudiants,-70,2026-02-13 10:28:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-70,2026-02-13 10:28:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:28:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:28:23
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:28:23
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:28:23
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:28:25
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:28:25
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:28:25
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:28:28
