BSSID,SSID,RSSI(dBm),Time
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:17
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:17
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:20
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:20
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:23
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:23
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:30
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:30
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:33
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:33
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:36
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:36
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:44
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:44
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:48
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:48
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:51
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:51
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:58
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:31:58
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:32:02
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:32:02
70:61:7b:e9:ac:28:,UTTetudiants,-50,2026-02-13 10:31:17
70:61:7b:e9:ac:28:,UTTetudiants,-50,2026-02-13 10:31:17
70:61:7b:e9:ac:28:,UTTetudiants,-68,2026-02-13 10:31:17
70:61:7b:e9:ac:28:,UTTetudiants,-48,2026-02-13 10:31:20
70:61:7b:e9:ac:28:,UTTetudiants,-48,2026-02-13 10:31:20
70:61:7b:e9:ac:28:,UTTetudiants,-50,2026-02-13 10:31:20
70:61:7b:e9:ac:28:,UTTetudiants,-48,2026-02-13 10:31:23
70:61:7b:e9:ac:28:,UTTetudiants,-48,2026-02-13 10:31:23
70:61:7b:e9:ac:28:,UTTetudiants,-50,2026-02-13 10:31:23
70:61:7b:e9:ac:28:,UTTetudiants,-47,2026-02-13 10:31:30
70:61:7b:e9:ac:28:,UTTetudiants,-47,2026-02-13 10:31:30
70:61:7b:e9:ac:28:,UTTetudiants,-66,2026-02-13 10:31:30
70:61:7b:e9:ac:28:,UTTetudiants,-47,2026-02-13 10:31:33
70:61:7b:e9:ac:28:,UTTetudiants,-47,2026-02-13 10:31:33
