BSSID,SSID,RSSI(dBm),Time
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:47
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:47
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:47
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:50
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:50
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:50
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:54
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:54
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:54
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:58
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:58
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:19:58
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:02
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:02
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:02
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:05
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:05
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:05
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:09
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:09
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:13
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:13
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:16
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:16
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:21
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:21
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:25
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:25
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:28
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:28
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:38
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:38
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:41
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:41
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:44
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:44
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:48
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:48
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:53
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:53
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:56
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:56
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:59
84:b2:61:08:fc:c8:,UTTetudiants,-86,2026-02-13 12:20:59
