BSSID,SSID,RSSI(dBm),Time
de:4d:df:1f:8d:fd:,iPhone de Virgile,-67,2026-02-10 16:27:01
de:4d:df:1f:8d:fd:,iPhone de Virgile,-67,2026-02-10 16:27:01
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:27:06
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:27:06
de:4d:df:1f:8d:fd:,iPhone de Virgile,-58,2026-02-10 16:27:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-58,2026-02-10 16:27:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 16:27:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 16:27:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-60,2026-02-10 16:27:24
de:4d:df:1f:8d:fd:,iPhone de Virgile,-60,2026-02-10 16:27:24
de:4d:df:1f:8d:fd:,iPhone de Virgile,-60,2026-02-10 16:27:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-60,2026-02-10 16:27:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 16:27:32
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 16:27:32
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 16:27:39
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 16:27:39
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 16:27:45
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 16:27:45
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 16:27:49
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 16:27:49
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 16:27:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 16:27:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 16:28:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 16:28:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:28:35
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:28:35
de:4d:df:1f:8d:fd:,iPhone de Virgile,-67,2026-02-10 16:28:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-67,2026-02-10 16:28:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:28:55
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:28:55
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:29:03
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:29:03
de:4d:df:1f:8d:fd:,iPhone de Virgile,-58,2026-02-10 16:29:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-58,2026-02-10 16:29:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 16:29:27
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 16:29:27
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 16:29:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 16:29:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-50,2026-02-10 16:29:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-50,2026-02-10 16:29:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-52,2026-02-10 16:29:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-52,2026-02-10 16:29:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-58,2026-02-10 16:30:00
de:4d:df:1f:8d:fd:,iPhone de Virgile,-58,2026-02-10 16:30:00
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 16:30:05
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 16:30:05
de:4d:df:1f:8d:fd:,iPhone de Virgile,-60,2026-02-10 16:30:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-60,2026-02-10 16:30:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:30:18
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:30:18
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:30:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:30:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:30:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:30:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-63,2026-02-10 16:30:51
de:4d:df:1f:8d:fd:,iPhone de Virgile,-63,2026-02-10 16:30:51
de:4d:df:1f:8d:fd:,iPhone de Virgile,-63,2026-02-10 16:30:57
de:4d:df:1f:8d:fd:,iPhone de Virgile,-63,2026-02-10 16:30:57
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:31:00
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:31:00
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 16:31:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 16:31:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 16:31:11
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 16:31:11
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 16:31:16
