BSSID,SSID,RSSI(dBm),Time
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:35:30
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:35:30
de:4d:df:1f:8d:fd:,iPhone de Virgile,-51,2026-02-10 15:35:36
de:4d:df:1f:8d:fd:,iPhone de Virgile,-51,2026-02-10 15:35:36
de:4d:df:1f:8d:fd:,iPhone de Virgile,-51,2026-02-10 15:35:39
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:35:39
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:35:43
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:35:43
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:35:46
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:35:46
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:35:49
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:35:49
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:35:52
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:35:52
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:35:55
de:4d:df:1f:8d:fd:,iPhone de Virgile,-48,2026-02-10 15:35:55
de:4d:df:1f:8d:fd:,iPhone de Virgile,-49,2026-02-10 15:36:00
de:4d:df:1f:8d:fd:,iPhone de Virgile,-49,2026-02-10 15:36:00
de:4d:df:1f:8d:fd:,iPhone de Virgile,-49,2026-02-10 15:36:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-49,2026-02-10 15:36:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:36:09
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:36:09
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:36:15
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:36:15
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:36:20
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:36:20
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:36:23
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:36:23
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:36:26
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:36:26
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:36:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:36:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:36:40
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:36:40
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:36:43
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:36:43
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:36:46
de:4d:df:1f:8d:fd:,iPhone de Virgile,-46,2026-02-10 15:36:46
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:36:50
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:36:50
de:4d:df:1f:8d:fd:,iPhone de Virgile,-49,2026-02-10 15:36:53
de:4d:df:1f:8d:fd:,iPhone de Virgile,-49,2026-02-10 15:36:53
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:36:58
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:36:58
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:37:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:37:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:37:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:37:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:37:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 15:37:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:37:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:37:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:37:16
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:37:16
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:37:19
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:37:19
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:37:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 15:37:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:37:26
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:37:26
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:37:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-37,2026-02-10 15:37:29
de:4d:df:1f:8d:fd:,iPhone de Virgile,-35,2026-02-10 15:37:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-35,2026-02-10 15:37:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-53,2026-02-10 15:37:38
de:4d:df:1f:8d:fd:,iPhone de Virgile,-53,2026-02-10 15:37:38
de:4d:df:1f:8d:fd:,iPhone de Virgile,-53,2026-02-10 15:37:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-53,2026-02-10 15:37:41
