BSSID,SSID,RSSI(dBm),Time
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:19:55
70:61:7b:e9:ac:27:,UTTetudiants,-51,2026-04-28 15:19:55
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:19:55
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:19:59
70:61:7b:e9:ac:27:,UTTetudiants,-51,2026-04-28 15:19:59
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:19:59
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:04
70:61:7b:e9:ac:27:,UTTetudiants,-51,2026-04-28 15:20:04
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:04
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:09
70:61:7b:e9:ac:27:,UTTetudiants,-51,2026-04-28 15:20:09
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:09
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:12
70:61:7b:e9:ac:27:,UTTetudiants,-51,2026-04-28 15:20:12
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:12
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:15
70:61:7b:e9:ac:27:,UTTetudiants,-51,2026-04-28 15:20:15
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:15
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:19
70:61:7b:e9:ac:27:,UTTetudiants,-51,2026-04-28 15:20:19
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:19
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:22
70:61:7b:e9:ac:27:,UTTetudiants,-51,2026-04-28 15:20:22
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:22
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:26
70:61:7b:e9:ac:27:,UTTetudiants,-51,2026-04-28 15:20:26
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:26
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:30
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:30
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:34
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:34
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:37
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:37
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:42
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:42
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:45
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:45
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:49
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:49
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:52
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:52
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:55
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:55
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:58
70:61:7b:e9:ac:27:,UTTetudiants,-77,2026-04-28 15:20:58
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:19:55
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:19:55
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:19:55
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:19:59
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:19:59
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:19:59
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:04
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:04
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:04
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:09
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:09
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:09
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:12
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:12
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:12
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:15
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:15
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:15
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:19
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:19
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:19
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:22
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:22
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:22
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:26
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:26
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:26
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:30
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:30
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:30
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:34
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:34
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:34
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:37
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:37
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:37
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:42
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:42
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:42
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:45
84:b2:61:08:fc:c8:,UTTetudiants,-71,2026-04-28 15:20:45
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:45
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:49
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:49
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:49
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:52
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:52
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:52
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:55
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:55
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:55
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:58
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:58
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:20:58
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:21:02
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:21:02
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:21:02
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:21:06
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:21:06
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:21:06
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:21:09
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:21:09
84:b2:61:08:fc:c8:,UTTetudiants,-82,2026-04-28 15:21:09
