Room,BSSID,SSID,RSSI(dBm),Time
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:45:30
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-81,2026-02-10 15:45:30
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:45:34
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:45:34
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:45:37
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:45:37
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-73,2026-02-10 15:45:41
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-77,2026-02-10 15:45:41
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:45:47
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:45:47
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:45:51
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:45:51
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:45:54
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:45:54
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 15:46:01
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-81,2026-02-10 15:46:01
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 15:46:04
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:46:04
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 15:46:08
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:46:08
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-81,2026-02-10 15:46:11
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:46:11
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-77,2026-02-10 15:46:21
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:46:21
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-77,2026-02-10 15:46:25
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-79,2026-02-10 15:46:25
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:46:30
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:46:30
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:46:35
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:46:35
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-73,2026-02-10 15:46:52
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-86,2026-02-10 15:46:52
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-73,2026-02-10 15:46:55
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 15:46:55
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-79,2026-02-10 15:46:59
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 15:46:59
S204A,ac:2a:a1:7e:df:68,UTTetudiants,-73,2026-02-10 15:47:02
