Room,BSSID,SSID,RSSI(dBm),Time
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-69,2026-02-10 15:40:47
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-87,2026-02-10 15:40:47
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-69,2026-02-10 15:40:50
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-79,2026-02-10 15:40:50
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:40:54
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-79,2026-02-10 15:40:54
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-72,2026-02-10 15:40:57
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:40:57
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:41:03
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:41:03
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:41:06
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-86,2026-02-10 15:41:06
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:41:10
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-86,2026-02-10 15:41:10
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-73,2026-02-10 15:41:14
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-81,2026-02-10 15:41:14
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:41:20
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 15:41:20
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:41:24
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:41:24
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:41:27
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:41:27
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:41:31
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-63,2026-02-10 15:41:31
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-73,2026-02-10 15:41:38
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:41:38
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-73,2026-02-10 15:41:41
S204B,ac:2a:a1:7e:df:68,UTTetudiants,-84,2026-02-10 15:41:41
