Room,BSSID,SSID,RSSI(dBm),Time
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-49,2026-02-10 15:25:58
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-60,2026-02-10 15:25:58
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-49,2026-02-10 15:26:03
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-39,2026-02-10 15:26:03
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-43,2026-02-10 15:26:18
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-58,2026-02-10 15:26:18
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-43,2026-02-10 15:26:23
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-49,2026-02-10 15:26:23
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-51,2026-02-10 15:26:26
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-49,2026-02-10 15:26:26
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-55,2026-02-10 15:26:35
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-60,2026-02-10 15:26:35
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-55,2026-02-10 15:26:40
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-42,2026-02-10 15:26:40
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-43,2026-02-10 15:26:44
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-42,2026-02-10 15:26:44
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-43,2026-02-10 15:26:53
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-60,2026-02-10 15:26:53
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-44,2026-02-10 15:26:57
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-60,2026-02-10 15:26:57
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-45,2026-02-10 15:27:00
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-59,2026-02-10 15:27:00
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-45,2026-02-10 15:27:07
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-68,2026-02-10 15:27:07
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-48,2026-02-10 15:27:12
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-68,2026-02-10 15:27:12
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-48,2026-02-10 15:27:15
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-42,2026-02-10 15:27:15
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-47,2026-02-10 15:27:15
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-56,2026-02-10 15:28:04
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-56,2026-02-10 15:28:07
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-61,2026-02-10 15:28:07
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-52,2026-02-10 15:28:10
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-61,2026-02-10 15:28:10
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-60,2026-02-10 15:28:17
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-59,2026-02-10 15:28:17
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-60,2026-02-10 15:28:20
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-49,2026-02-10 15:28:20
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-58,2026-02-10 15:28:23
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-49,2026-02-10 15:28:23
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-58,2026-02-10 15:28:30
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:28:30
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-58,2026-02-10 15:28:33
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:28:33
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-65,2026-02-10 15:28:37
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:28:37
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-65,2026-02-10 15:28:43
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-67,2026-02-10 15:28:43
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-54,2026-02-10 15:28:46
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-67,2026-02-10 15:28:46
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-59,2026-02-10 15:28:49
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-67,2026-02-10 15:28:49
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-69,2026-02-10 15:28:56
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:28:56
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-69,2026-02-10 15:29:00
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-67,2026-02-10 15:29:00
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-57,2026-02-10 15:29:04
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-67,2026-02-10 15:29:04
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-62,2026-02-10 15:29:13
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:29:13
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-62,2026-02-10 15:29:17
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:29:17
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-58,2026-02-10 15:29:20
couloirB,ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:29:20
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-60,2026-02-10 15:25:58
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-49,2026-02-10 15:25:58
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-41,2026-02-10 15:26:03
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-49,2026-02-10 15:26:03
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-60,2026-02-10 15:26:18
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-43,2026-02-10 15:26:18
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-49,2026-02-10 15:26:23
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-43,2026-02-10 15:26:23
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-49,2026-02-10 15:26:26
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-51,2026-02-10 15:26:26
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-61,2026-02-10 15:26:35
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-55,2026-02-10 15:26:35
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-43,2026-02-10 15:26:40
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-55,2026-02-10 15:26:40
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-43,2026-02-10 15:26:44
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-42,2026-02-10 15:26:44
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-61,2026-02-10 15:26:53
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-42,2026-02-10 15:26:53
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-61,2026-02-10 15:26:57
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-45,2026-02-10 15:26:57
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-60,2026-02-10 15:27:00
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-45,2026-02-10 15:27:00
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-69,2026-02-10 15:27:07
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-45,2026-02-10 15:27:07
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-69,2026-02-10 15:27:12
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-48,2026-02-10 15:27:12
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-42,2026-02-10 15:27:15
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-48,2026-02-10 15:27:15
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-57,2026-02-10 15:28:04
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-56,2026-02-10 15:28:04
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-63,2026-02-10 15:28:07
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-56,2026-02-10 15:28:07
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-63,2026-02-10 15:28:10
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-52,2026-02-10 15:28:10
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-61,2026-02-10 15:28:17
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-60,2026-02-10 15:28:17
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-50,2026-02-10 15:28:20
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-60,2026-02-10 15:28:20
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-50,2026-02-10 15:28:23
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-58,2026-02-10 15:28:23
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-71,2026-02-10 15:28:30
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-58,2026-02-10 15:28:30
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-70,2026-02-10 15:28:33
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-58,2026-02-10 15:28:33
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-70,2026-02-10 15:28:37
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-65,2026-02-10 15:28:37
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-67,2026-02-10 15:28:43
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-65,2026-02-10 15:28:43
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-67,2026-02-10 15:28:46
couloirB,ac:2a:a1:7e:df:67,UTTetudiants,-54,2026-02-10 15:28:46
