Room,BSSID,SSID,RSSI(dBm),Time
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-55,2026-02-10 15:17:56
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-46,2026-02-10 15:17:56
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-50,2026-02-10 15:17:59
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-46,2026-02-10 15:17:59
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-56,2026-02-10 15:18:03
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:18:03
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-56,2026-02-10 15:18:06
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-52,2026-02-10 15:18:06
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-48,2026-02-10 15:18:13
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-62,2026-02-10 15:18:13
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-48,2026-02-10 15:18:16
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-53,2026-02-10 15:18:16
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-51,2026-02-10 15:18:19
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-53,2026-02-10 15:18:19
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-51,2026-02-10 15:18:24
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-62,2026-02-10 15:18:24
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-47,2026-02-10 15:18:24
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-47,2026-02-10 15:18:27
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-52,2026-02-10 15:18:27
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-54,2026-02-10 15:18:31
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-52,2026-02-10 15:18:31
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-58,2026-02-10 15:18:36
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-61,2026-02-10 15:18:36
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-58,2026-02-10 15:18:39
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-59,2026-02-10 15:18:39
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-55,2026-02-10 15:18:42
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-59,2026-02-10 15:18:42
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-56,2026-02-10 15:18:44
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-58,2026-02-10 15:18:44
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-56,2026-02-10 15:18:48
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-61,2026-02-10 15:18:48
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-64,2026-02-10 15:18:51
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-61,2026-02-10 15:18:51
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-66,2026-02-10 15:18:54
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-60,2026-02-10 15:18:54
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-66,2026-02-10 15:18:57
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-64,2026-02-10 15:18:57
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:19:00
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-64,2026-02-10 15:19:00
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-69,2026-02-10 15:19:03
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:19:03
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-69,2026-02-10 15:19:07
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-64,2026-02-10 15:19:10
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-69,2026-02-10 15:19:10
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-69,2026-02-10 15:19:13
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 15:19:13
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-69,2026-02-10 15:19:18
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:19:18
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:19:21
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:19:21
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:19:24
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:19:24
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-70,2026-02-10 15:19:27
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:19:27
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:19:30
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:19:30
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:19:33
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-81,2026-02-10 15:19:33
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:19:36
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:19:36
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-79,2026-02-10 15:19:39
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:19:39
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:19:42
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:19:42
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:19:45
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:19:45
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-81,2026-02-10 15:19:48
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-80,2026-02-10 15:19:48
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:19:51
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-88,2026-02-10 15:19:51
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:19:54
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 15:19:54
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-83,2026-02-10 15:19:58
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 15:19:58
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:20:02
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-86,2026-02-10 15:20:02
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-75,2026-02-10 15:20:05
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-82,2026-02-10 15:20:05
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:20:09
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-79,2026-02-10 15:20:09
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:20:12
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:20:12
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-71,2026-02-10 15:20:15
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-85,2026-02-10 15:20:15
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:20:18
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-77,2026-02-10 15:20:18
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:20:20
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-81,2026-02-10 15:20:20
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-74,2026-02-10 15:20:24
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-81,2026-02-10 15:20:24
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:20:28
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-84,2026-02-10 15:20:28
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-76,2026-02-10 15:20:33
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-65,2026-02-10 15:20:33
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-78,2026-02-10 15:20:41
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-65,2026-02-10 15:20:41
couloirB(2e),ac:2a:a1:7e:df:68,UTTetudiants,-72,2026-02-10 15:20:52
