BSSID,SSID,RSSI(dBm),Time
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:40:42
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:40:42
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:40:42
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:40:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:40:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:40:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:40:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:40:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:40:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:41:06
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:41:29
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:41:29
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:41:32
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:41:32
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:41:39
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:41:39
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:41:42
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:41:42
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:41:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:41:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:41:53
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:41:53
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:41:57
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:41:57
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:42:01
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:42:01
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:19
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:19
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:31
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:31
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:35
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:35
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:38
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:38
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:47
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:47
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:59
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:42:59
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:08
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:08
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:43:08
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:43:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:26
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:26
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:43:26
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:35
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:35
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:43:35
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:39
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:39
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:43:39
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:43:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:43:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:43:49
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:43:49
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:43:49
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:43:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:43:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:43:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:44:03
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:44:03
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:44:03
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:44:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:44:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:44:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:44:15
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:44:15
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:44:15
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:44:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:44:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:44:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:44:45
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:44:45
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:44:45
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:44:51
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:44:51
f8:6b:d9:5e:10:c8:,UTTetudiants,-85,2026-02-13 10:44:51
