BSSID,SSID,RSSI(dBm),Time
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 16:13:50
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 16:13:50
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 16:14:09
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 16:14:09
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 16:14:12
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 16:14:12
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 16:14:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 16:14:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 16:14:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-43,2026-02-10 16:14:22
de:4d:df:1f:8d:fd:,iPhone de Virgile,-36,2026-02-10 16:14:33
de:4d:df:1f:8d:fd:,iPhone de Virgile,-36,2026-02-10 16:14:33
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 16:14:39
de:4d:df:1f:8d:fd:,iPhone de Virgile,-45,2026-02-10 16:14:39
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 16:14:45
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 16:14:45
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 16:14:49
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 16:14:49
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 16:14:53
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 16:14:53
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 16:14:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 16:14:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-35,2026-02-10 16:15:01
de:4d:df:1f:8d:fd:,iPhone de Virgile,-35,2026-02-10 16:15:01
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 16:15:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 16:15:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-36,2026-02-10 16:15:11
