BSSID,SSID,RSSI(dBm),Time
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:54:07
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:54:07
f8:6b:d9:01:85:28:,UTTetudiants,-77,2026-02-10 16:54:07
f8:6b:d9:01:85:28:,UTTetudiants,-87,2026-02-10 16:54:10
f8:6b:d9:01:85:28:,UTTetudiants,-87,2026-02-10 16:54:10
f8:6b:d9:01:85:28:,UTTetudiants,-66,2026-02-10 16:54:10
f8:6b:d9:01:85:28:,UTTetudiants,-83,2026-02-10 16:54:13
f8:6b:d9:01:85:28:,UTTetudiants,-83,2026-02-10 16:54:13
f8:6b:d9:01:85:28:,UTTetudiants,-84,2026-02-10 16:54:13
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:54:17
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:54:17
f8:6b:d9:01:85:28:,UTTetudiants,-66,2026-02-10 16:54:17
f8:6b:d9:01:85:28:,UTTetudiants,-80,2026-02-10 16:54:22
f8:6b:d9:01:85:28:,UTTetudiants,-80,2026-02-10 16:54:22
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:54:22
f8:6b:d9:01:85:28:,UTTetudiants,-81,2026-02-10 16:54:26
f8:6b:d9:01:85:28:,UTTetudiants,-81,2026-02-10 16:54:26
f8:6b:d9:01:85:28:,UTTetudiants,-67,2026-02-10 16:54:26
f8:6b:d9:01:85:28:,UTTetudiants,-81,2026-02-10 16:54:30
f8:6b:d9:01:85:28:,UTTetudiants,-81,2026-02-10 16:54:30
f8:6b:d9:01:85:28:,UTTetudiants,-66,2026-02-10 16:54:30
f8:6b:d9:01:85:28:,UTTetudiants,-81,2026-02-10 16:54:40
f8:6b:d9:01:85:28:,UTTetudiants,-81,2026-02-10 16:54:40
f8:6b:d9:01:85:28:,UTTetudiants,-67,2026-02-10 16:54:40
f8:6b:d9:01:85:28:,UTTetudiants,-80,2026-02-10 16:54:48
f8:6b:d9:01:85:28:,UTTetudiants,-80,2026-02-10 16:54:48
f8:6b:d9:01:85:28:,UTTetudiants,-77,2026-02-10 16:54:48
f8:6b:d9:01:85:28:,UTTetudiants,-83,2026-02-10 16:54:55
f8:6b:d9:01:85:28:,UTTetudiants,-83,2026-02-10 16:54:55
f8:6b:d9:01:85:28:,UTTetudiants,-58,2026-02-10 16:54:55
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:54:59
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:54:59
f8:6b:d9:01:85:28:,UTTetudiants,-68,2026-02-10 16:54:59
f8:6b:d9:01:85:28:,UTTetudiants,-84,2026-02-10 16:55:04
f8:6b:d9:01:85:28:,UTTetudiants,-84,2026-02-10 16:55:04
f8:6b:d9:01:85:28:,UTTetudiants,-59,2026-02-10 16:55:04
f8:6b:d9:01:85:28:,UTTetudiants,-77,2026-02-10 16:55:10
f8:6b:d9:01:85:28:,UTTetudiants,-77,2026-02-10 16:55:10
f8:6b:d9:01:85:28:,UTTetudiants,-71,2026-02-10 16:55:10
f8:6b:d9:01:85:28:,UTTetudiants,-85,2026-02-10 16:55:16
f8:6b:d9:01:85:28:,UTTetudiants,-85,2026-02-10 16:55:16
f8:6b:d9:01:85:28:,UTTetudiants,-69,2026-02-10 16:55:16
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:55:19
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:55:19
f8:6b:d9:01:85:28:,UTTetudiants,-72,2026-02-10 16:55:19
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:55:23
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:55:23
f8:6b:d9:01:85:28:,UTTetudiants,-69,2026-02-10 16:55:23
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:55:26
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:55:26
f8:6b:d9:01:85:28:,UTTetudiants,-76,2026-02-10 16:55:26
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:55:30
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:55:30
f8:6b:d9:01:85:28:,UTTetudiants,-67,2026-02-10 16:55:30
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:55:37
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:55:37
f8:6b:d9:01:85:28:,UTTetudiants,-81,2026-02-10 16:55:37
f8:6b:d9:01:85:28:,UTTetudiants,-86,2026-02-10 16:55:41
f8:6b:d9:01:85:28:,UTTetudiants,-86,2026-02-10 16:55:41
f8:6b:d9:01:85:28:,UTTetudiants,-67,2026-02-10 16:55:41
f8:6b:d9:01:85:28:,UTTetudiants,-84,2026-02-10 16:55:44
f8:6b:d9:01:85:28:,UTTetudiants,-84,2026-02-10 16:55:44
f8:6b:d9:01:85:28:,UTTetudiants,-75,2026-02-10 16:55:44
f8:6b:d9:01:85:28:,UTTetudiants,-83,2026-02-10 16:55:48
f8:6b:d9:01:85:28:,UTTetudiants,-83,2026-02-10 16:55:48
f8:6b:d9:01:85:28:,UTTetudiants,-63,2026-02-10 16:55:48
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:55:52
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:55:52
f8:6b:d9:01:85:28:,UTTetudiants,-72,2026-02-10 16:55:52
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:55:56
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:55:56
f8:6b:d9:01:85:28:,UTTetudiants,-65,2026-02-10 16:55:56
f8:6b:d9:01:85:28:,UTTetudiants,-77,2026-02-10 16:55:59
f8:6b:d9:01:85:28:,UTTetudiants,-77,2026-02-10 16:55:59
f8:6b:d9:01:85:28:,UTTetudiants,-70,2026-02-10 16:55:59
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:56:05
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:56:05
f8:6b:d9:01:85:28:,UTTetudiants,-63,2026-02-10 16:56:05
f8:6b:d9:01:85:28:,UTTetudiants,-76,2026-02-10 16:56:08
f8:6b:d9:01:85:28:,UTTetudiants,-76,2026-02-10 16:56:08
f8:6b:d9:01:85:28:,UTTetudiants,-72,2026-02-10 16:56:08
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:56:12
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:56:12
f8:6b:d9:01:85:28:,UTTetudiants,-61,2026-02-10 16:56:12
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:56:16
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:56:16
f8:6b:d9:01:85:28:,UTTetudiants,-76,2026-02-10 16:56:16
f8:6b:d9:01:85:28:,UTTetudiants,-84,2026-02-10 16:56:25
f8:6b:d9:01:85:28:,UTTetudiants,-84,2026-02-10 16:56:25
f8:6b:d9:01:85:28:,UTTetudiants,-65,2026-02-10 16:56:25
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:56:28
f8:6b:d9:01:85:28:,UTTetudiants,-78,2026-02-10 16:56:28
f8:6b:d9:01:85:28:,UTTetudiants,-72,2026-02-10 16:56:28
f8:6b:d9:01:85:28:,UTTetudiants,-85,2026-02-10 16:56:32
f8:6b:d9:01:85:28:,UTTetudiants,-85,2026-02-10 16:56:32
f8:6b:d9:01:85:28:,UTTetudiants,-68,2026-02-10 16:56:32
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:56:35
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:56:35
f8:6b:d9:01:85:28:,UTTetudiants,-71,2026-02-10 16:56:35
f8:6b:d9:01:85:28:,UTTetudiants,-85,2026-02-10 16:56:46
f8:6b:d9:01:85:28:,UTTetudiants,-85,2026-02-10 16:56:46
f8:6b:d9:01:85:28:,UTTetudiants,-59,2026-02-10 16:56:46
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:56:50
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:56:50
f8:6b:d9:01:85:28:,UTTetudiants,-71,2026-02-10 16:56:50
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:56:53
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:56:53
f8:6b:d9:01:85:28:,UTTetudiants,-60,2026-02-10 16:56:53
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:56:57
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:56:57
f8:6b:d9:01:85:28:,UTTetudiants,-75,2026-02-10 16:56:57
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:57:01
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:57:01
f8:6b:d9:01:85:28:,UTTetudiants,-67,2026-02-10 16:57:01
f8:6b:d9:01:85:28:,UTTetudiants,-84,2026-02-10 16:57:05
f8:6b:d9:01:85:28:,UTTetudiants,-84,2026-02-10 16:57:05
f8:6b:d9:01:85:28:,UTTetudiants,-79,2026-02-10 16:57:05
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:57:11
f8:6b:d9:01:85:28:,UTTetudiants,-82,2026-02-10 16:57:11
