BSSID,SSID,RSSI(dBm),Time
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 15:45:30
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 15:45:30
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:45:34
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:45:34
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:45:37
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:45:37
de:4d:df:1f:8d:fd:,iPhone de Virgile,-60,2026-02-10 15:45:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-60,2026-02-10 15:45:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:45:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:45:47
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:45:51
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:45:51
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:45:54
de:4d:df:1f:8d:fd:,iPhone de Virgile,-60,2026-02-10 15:45:54
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 15:46:01
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 15:46:01
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 15:46:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 15:46:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 15:46:08
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 15:46:08
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:46:11
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:46:11
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:46:21
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:46:21
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:46:25
de:4d:df:1f:8d:fd:,iPhone de Virgile,-61,2026-02-10 15:46:25
