BSSID,SSID,RSSI(dBm),Time
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:21:26
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:21:26
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:21:30
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:21:30
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:21:34
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:21:34
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:38
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:38
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:41
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:41
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:44
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:44
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:48
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:48
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:52
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:52
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:55
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:21:55
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:21:58
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:21:58
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:22:02
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:22:02
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:22:11
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:22:11
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:23:37
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:23:37
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:23:40
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:23:40
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:23:43
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:23:43
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:23:46
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:23:46
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:24:01
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:24:01
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:24:04
84:b2:61:1f:b5:37:,UTTetudiants,-80,2026-02-13 10:24:04
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:24:08
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:24:08
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:24:11
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:24:11
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:24:15
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:24:15
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:24:18
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:24:18
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:24:21
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:24:21
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:24:30
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:24:30
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:24:33
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:24:33
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:24:37
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:24:37
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:24:40
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:24:40
84:b2:61:1f:b5:37:,UTTetudiants,-86,2026-02-13 10:24:44
84:b2:61:1f:b5:37:,UTTetudiants,-86,2026-02-13 10:24:44
84:b2:61:1f:b5:37:,UTTetudiants,-86,2026-02-13 10:24:48
84:b2:61:1f:b5:37:,UTTetudiants,-86,2026-02-13 10:24:48
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:24:51
84:b2:61:1f:b5:37:,UTTetudiants,-79,2026-02-13 10:24:51
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:24:54
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:24:54
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:24:58
84:b2:61:1f:b5:37:,UTTetudiants,-88,2026-02-13 10:24:58
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:25:01
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:25:01
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:25:04
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:25:04
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:25:07
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:25:07
