BSSID,SSID,RSSI(dBm),Time
f8:6b:d9:5e:10:c7:,UTTetudiants,-74,2026-02-13 12:16:24
f8:6b:d9:5e:10:c7:,UTTetudiants,-79,2026-02-13 12:16:24
f8:6b:d9:5e:10:c7:,UTTetudiants,-74,2026-02-13 12:16:24
f8:6b:d9:5e:10:c7:,UTTetudiants,-77,2026-02-13 12:16:28
f8:6b:d9:5e:10:c7:,UTTetudiants,-79,2026-02-13 12:16:28
f8:6b:d9:5e:10:c7:,UTTetudiants,-78,2026-02-13 12:16:28
f8:6b:d9:5e:10:c7:,UTTetudiants,-77,2026-02-13 12:16:31
f8:6b:d9:5e:10:c7:,UTTetudiants,-85,2026-02-13 12:16:31
f8:6b:d9:5e:10:c7:,UTTetudiants,-77,2026-02-13 12:16:31
f8:6b:d9:5e:10:c7:,UTTetudiants,-72,2026-02-13 12:16:37
f8:6b:d9:5e:10:c7:,UTTetudiants,-85,2026-02-13 12:16:37
f8:6b:d9:5e:10:c7:,UTTetudiants,-72,2026-02-13 12:16:37
f8:6b:d9:5e:10:c7:,UTTetudiants,-72,2026-02-13 12:16:40
f8:6b:d9:5e:10:c7:,UTTetudiants,-85,2026-02-13 12:16:40
f8:6b:d9:5e:10:c7:,UTTetudiants,-72,2026-02-13 12:16:40
f8:6b:d9:5e:10:c7:,UTTetudiants,-72,2026-02-13 12:16:43
f8:6b:d9:5e:10:c7:,UTTetudiants,-78,2026-02-13 12:16:43
f8:6b:d9:5e:10:c7:,UTTetudiants,-72,2026-02-13 12:16:43
f8:6b:d9:5e:10:c7:,UTTetudiants,-72,2026-02-13 12:16:49
f8:6b:d9:5e:10:c7:,UTTetudiants,-82,2026-02-13 12:16:49
f8:6b:d9:5e:10:c7:,UTTetudiants,-72,2026-02-13 12:16:49
f8:6b:d9:5e:10:c7:,UTTetudiants,-79,2026-02-13 12:16:52
f8:6b:d9:5e:10:c7:,UTTetudiants,-79,2026-02-13 12:16:52
f8:6b:d9:5e:10:c7:,UTTetudiants,-79,2026-02-13 12:16:52
f8:6b:d9:5e:10:c7:,UTTetudiants,-77,2026-02-13 12:16:56
f8:6b:d9:5e:10:c7:,UTTetudiants,-79,2026-02-13 12:16:56
f8:6b:d9:5e:10:c7:,UTTetudiants,-77,2026-02-13 12:16:56
f8:6b:d9:5e:10:c7:,UTTetudiants,-72,2026-02-13 12:17:01
f8:6b:d9:5e:10:c7:,UTTetudiants,-79,2026-02-13 12:17:01
f8:6b:d9:5e:10:c7:,UTTetudiants,-72,2026-02-13 12:17:01
f8:6b:d9:5e:10:c7:,UTTetudiants,-72,2026-02-13 12:17:05
