BSSID,SSID,RSSI(dBm),Time
de:4d:df:1f:8d:fd:,iPhone de Virgile,-74,2026-02-10 16:21:49
de:4d:df:1f:8d:fd:,iPhone de Virgile,-73,2026-02-10 16:21:49
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 16:21:52
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 16:21:52
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 16:21:55
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 16:21:55
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:22:03
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:22:03
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:22:06
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:22:06
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:22:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:22:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-64,2026-02-10 16:22:25
de:4d:df:1f:8d:fd:,iPhone de Virgile,-64,2026-02-10 16:22:25
de:4d:df:1f:8d:fd:,iPhone de Virgile,-64,2026-02-10 16:22:30
de:4d:df:1f:8d:fd:,iPhone de Virgile,-64,2026-02-10 16:22:30
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 16:22:33
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 16:22:33
de:4d:df:1f:8d:fd:,iPhone de Virgile,-60,2026-02-10 16:22:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-60,2026-02-10 16:22:41
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:22:48
de:4d:df:1f:8d:fd:,iPhone de Virgile,-66,2026-02-10 16:22:48
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:22:50
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:22:50
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:22:53
de:4d:df:1f:8d:fd:,iPhone de Virgile,-68,2026-02-10 16:22:53
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 16:23:01
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 16:23:01
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 16:23:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 16:23:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 16:23:08
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 16:23:08
