BSSID,SSID,RSSI(dBm),Time
de:4d:df:1f:8d:fd:,iPhone de Virgile,-41,2026-02-10 15:17:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-41,2026-02-10 15:17:56
de:4d:df:1f:8d:fd:,iPhone de Virgile,-41,2026-02-10 15:17:59
de:4d:df:1f:8d:fd:,iPhone de Virgile,-41,2026-02-10 15:17:59
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 15:18:03
de:4d:df:1f:8d:fd:,iPhone de Virgile,-38,2026-02-10 15:18:03
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:18:06
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:18:06
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:18:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:18:13
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:18:16
de:4d:df:1f:8d:fd:,iPhone de Virgile,-44,2026-02-10 15:18:16
de:4d:df:1f:8d:fd:,iPhone de Virgile,-41,2026-02-10 15:18:19
de:4d:df:1f:8d:fd:,iPhone de Virgile,-41,2026-02-10 15:18:19
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:18:24
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:18:24
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:18:27
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:18:27
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:18:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-47,2026-02-10 15:18:31
de:4d:df:1f:8d:fd:,iPhone de Virgile,-35,2026-02-10 15:18:36
de:4d:df:1f:8d:fd:,iPhone de Virgile,-35,2026-02-10 15:18:36
de:4d:df:1f:8d:fd:,iPhone de Virgile,-35,2026-02-10 15:18:39
de:4d:df:1f:8d:fd:,iPhone de Virgile,-35,2026-02-10 15:18:39
de:4d:df:1f:8d:fd:,iPhone de Virgile,-34,2026-02-10 15:18:42
de:4d:df:1f:8d:fd:,iPhone de Virgile,-34,2026-02-10 15:18:42
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:18:44
de:4d:df:1f:8d:fd:,iPhone de Virgile,-40,2026-02-10 15:18:44
de:4d:df:1f:8d:fd:,iPhone de Virgile,-34,2026-02-10 15:18:48
