BSSID,SSID,RSSI(dBm),Time
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 15:25:58
de:4d:df:1f:8d:fd:,iPhone de Virgile,-39,2026-02-10 15:25:58
de:4d:df:1f:8d:fd:,iPhone de Virgile,-42,2026-02-10 15:26:03
de:4d:df:1f:8d:fd:,iPhone de Virgile,-42,2026-02-10 15:26:03
de:4d:df:1f:8d:fd:,iPhone de Virgile,-69,2026-02-10 15:26:18
de:4d:df:1f:8d:fd:,iPhone de Virgile,-69,2026-02-10 15:26:18
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 15:26:23
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 15:26:23
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 15:26:26
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 15:26:26
de:4d:df:1f:8d:fd:,iPhone de Virgile,-55,2026-02-10 15:26:35
de:4d:df:1f:8d:fd:,iPhone de Virgile,-55,2026-02-10 15:26:35
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 15:26:40
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 15:26:40
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 15:26:44
de:4d:df:1f:8d:fd:,iPhone de Virgile,-57,2026-02-10 15:26:44
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:26:53
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:26:53
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 15:26:57
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 15:26:57
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 15:27:00
de:4d:df:1f:8d:fd:,iPhone de Virgile,-62,2026-02-10 15:27:00
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 15:27:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-56,2026-02-10 15:27:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:27:12
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:27:12
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:27:15
de:4d:df:1f:8d:fd:,iPhone de Virgile,-59,2026-02-10 15:27:15
de:4d:df:1f:8d:fd:,iPhone de Virgile,-73,2026-02-10 15:28:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-73,2026-02-10 15:28:04
de:4d:df:1f:8d:fd:,iPhone de Virgile,-69,2026-02-10 15:28:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-69,2026-02-10 15:28:07
de:4d:df:1f:8d:fd:,iPhone de Virgile,-69,2026-02-10 15:28:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-69,2026-02-10 15:28:10
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:28:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:28:17
de:4d:df:1f:8d:fd:,iPhone de Virgile,-73,2026-02-10 15:28:20
de:4d:df:1f:8d:fd:,iPhone de Virgile,-73,2026-02-10 15:28:20
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:28:23
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:28:23
de:4d:df:1f:8d:fd:,iPhone de Virgile,-73,2026-02-10 15:28:30
de:4d:df:1f:8d:fd:,iPhone de Virgile,-73,2026-02-10 15:28:30
de:4d:df:1f:8d:fd:,iPhone de Virgile,-73,2026-02-10 15:28:33
de:4d:df:1f:8d:fd:,iPhone de Virgile,-73,2026-02-10 15:28:33
de:4d:df:1f:8d:fd:,iPhone de Virgile,-73,2026-02-10 15:28:37
de:4d:df:1f:8d:fd:,iPhone de Virgile,-73,2026-02-10 15:28:37
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:28:43
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:28:43
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:28:46
de:4d:df:1f:8d:fd:,iPhone de Virgile,-72,2026-02-10 15:28:46
de:4d:df:1f:8d:fd:,iPhone de Virgile,-77,2026-02-10 15:28:49
