BSSID,SSID,RSSI(dBm),Time
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:53:12
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:53:12
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:53:15
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:53:15
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:53:19
f8:6b:d9:5e:10:c8:,UTTetudiants,-86,2026-02-13 10:53:19
f8:6b:d9:5e:10:c8:,UTTetudiants,-80,2026-02-13 10:53:23
f8:6b:d9:5e:10:c8:,UTTetudiants,-80,2026-02-13 10:53:23
f8:6b:d9:5e:10:c8:,UTTetudiants,-80,2026-02-13 10:53:27
f8:6b:d9:5e:10:c8:,UTTetudiants,-80,2026-02-13 10:53:27
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:53:31
f8:6b:d9:5e:10:c8:,UTTetudiants,-84,2026-02-13 10:53:31
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:53:34
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:53:34
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:53:38
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:53:38
f8:6b:d9:5e:10:c8:,UTTetudiants,-81,2026-02-13 10:53:45
f8:6b:d9:5e:10:c8:,UTTetudiants,-81,2026-02-13 10:53:45
f8:6b:d9:5e:10:c8:,UTTetudiants,-81,2026-02-13 10:53:49
f8:6b:d9:5e:10:c8:,UTTetudiants,-81,2026-02-13 10:53:49
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:53:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:53:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:53:55
f8:6b:d9:5e:10:c8:,UTTetudiants,-83,2026-02-13 10:53:55
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:53:55
f8:6b:d9:5e:10:c8:,UTTetudiants,-81,2026-02-13 10:54:02
f8:6b:d9:5e:10:c8:,UTTetudiants,-81,2026-02-13 10:54:02
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:54:02
f8:6b:d9:5e:10:c8:,UTTetudiants,-81,2026-02-13 10:54:06
f8:6b:d9:5e:10:c8:,UTTetudiants,-81,2026-02-13 10:54:06
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:54:06
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:54:09
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:54:09
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:54:09
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:54:12
f8:6b:d9:5e:10:c8:,UTTetudiants,-82,2026-02-13 10:54:12
f8:6b:d9:5e:10:c8:,UTTetudiants,-87,2026-02-13 10:54:12
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:54:18
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:54:18
f8:6b:d9:5e:10:c8:,UTTetudiants,-87,2026-02-13 10:54:18
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:54:21
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:54:21
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:54:21
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:54:26
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:54:26
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:54:26
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:54:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:54:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:54:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:54:38
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:54:38
f8:6b:d9:5e:10:c8:,UTTetudiants,-78,2026-02-13 10:54:38
f8:6b:d9:5e:10:c8:,UTTetudiants,-77,2026-02-13 10:54:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-77,2026-02-13 10:54:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 10:54:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-77,2026-02-13 10:54:54
f8:6b:d9:5e:10:c8:,UTTetudiants,-77,2026-02-13 10:54:54
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:54:54
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 10:55:01
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 10:55:01
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:55:01
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 10:55:05
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 10:55:05
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:55:05
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:55:08
f8:6b:d9:5e:10:c8:,UTTetudiants,-73,2026-02-13 10:55:08
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:55:08
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:55:12
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:55:12
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:55:12
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:55:17
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:55:17
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 10:55:17
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:55:21
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:55:21
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:55:21
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:55:24
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:55:24
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 10:55:24
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:55:28
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:55:28
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:55:28
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:55:38
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:55:38
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:55:38
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:55:42
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:55:42
f8:6b:d9:5e:10:c8:,UTTetudiants,-76,2026-02-13 10:55:42
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:55:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:55:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-53,2026-02-13 10:55:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:55:51
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:55:51
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:55:51
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:55:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:55:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-53,2026-02-13 10:55:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:56:00
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:56:00
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:56:00
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:56:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:56:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:56:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-63,2026-02-13 10:56:08
f8:6b:d9:5e:10:c8:,UTTetudiants,-63,2026-02-13 10:56:08
f8:6b:d9:5e:10:c8:,UTTetudiants,-51,2026-02-13 10:56:08
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:56:13
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:56:13
f8:6b:d9:5e:10:c8:,UTTetudiants,-74,2026-02-13 10:56:13
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:56:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:56:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:56:20
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:56:23
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:56:23
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 10:56:23
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 10:56:28
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 10:56:28
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:56:28
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 10:56:32
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 10:56:32
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 10:56:32
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:56:37
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:56:37
f8:6b:d9:5e:10:c8:,UTTetudiants,-55,2026-02-13 10:56:37
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:56:41
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:56:41
f8:6b:d9:5e:10:c8:,UTTetudiants,-58,2026-02-13 10:56:41
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:56:44
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:56:44
f8:6b:d9:5e:10:c8:,UTTetudiants,-58,2026-02-13 10:56:44
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:56:49
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:56:49
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:56:49
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:56:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:56:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:56:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:56:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:56:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-62,2026-02-13 10:56:56
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:12
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:12
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:15
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:15
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:19
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:19
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:23
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:23
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:27
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:27
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:31
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:31
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:34
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:34
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:38
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:38
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:45
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:45
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:49
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:49
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:52
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:52
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:55
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:53:55
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:54:02
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:54:02
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:54:06
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:54:06
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:54:09
84:b2:61:1f:b5:37:,UTTetudiants,-85,2026-02-13 10:54:09
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:54:12
84:b2:61:1f:b5:37:,UTTetudiants,-82,2026-02-13 10:54:12
84:b2:61:1f:b5:37:,UTTetudiants,-75,2026-02-13 10:54:18
84:b2:61:1f:b5:37:,UTTetudiants,-75,2026-02-13 10:54:18
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:54:21
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:54:21
84:b2:61:1f:b5:37:,UTTetudiants,-75,2026-02-13 10:54:26
84:b2:61:1f:b5:37:,UTTetudiants,-75,2026-02-13 10:54:26
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:54:30
84:b2:61:1f:b5:37:,UTTetudiants,-81,2026-02-13 10:54:30
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:54:38
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:54:38
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:54:50
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:54:50
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:54:54
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:54:54
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:55:01
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:55:01
84:b2:61:1f:b5:37:,UTTetudiants,-75,2026-02-13 10:55:05
84:b2:61:1f:b5:37:,UTTetudiants,-75,2026-02-13 10:55:05
84:b2:61:1f:b5:37:,UTTetudiants,-75,2026-02-13 10:55:08
84:b2:61:1f:b5:37:,UTTetudiants,-75,2026-02-13 10:55:08
84:b2:61:1f:b5:37:,UTTetudiants,-73,2026-02-13 10:55:12
84:b2:61:1f:b5:37:,UTTetudiants,-73,2026-02-13 10:55:12
84:b2:61:1f:b5:37:,UTTetudiants,-69,2026-02-13 10:55:17
84:b2:61:1f:b5:37:,UTTetudiants,-69,2026-02-13 10:55:17
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:55:17
84:b2:61:1f:b5:37:,UTTetudiants,-60,2026-02-13 10:55:21
84:b2:61:1f:b5:37:,UTTetudiants,-60,2026-02-13 10:55:21
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:55:21
84:b2:61:1f:b5:37:,UTTetudiants,-60,2026-02-13 10:55:24
84:b2:61:1f:b5:37:,UTTetudiants,-60,2026-02-13 10:55:24
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:55:24
84:b2:61:1f:b5:37:,UTTetudiants,-68,2026-02-13 10:55:28
84:b2:61:1f:b5:37:,UTTetudiants,-68,2026-02-13 10:55:28
84:b2:61:1f:b5:37:,UTTetudiants,-74,2026-02-13 10:55:28
84:b2:61:1f:b5:37:,UTTetudiants,-56,2026-02-13 10:55:38
84:b2:61:1f:b5:37:,UTTetudiants,-56,2026-02-13 10:55:38
84:b2:61:1f:b5:37:,UTTetudiants,-75,2026-02-13 10:55:38
84:b2:61:1f:b5:37:,UTTetudiants,-70,2026-02-13 10:55:42
84:b2:61:1f:b5:37:,UTTetudiants,-70,2026-02-13 10:55:42
84:b2:61:1f:b5:37:,UTTetudiants,-75,2026-02-13 10:55:42
84:b2:61:1f:b5:37:,UTTetudiants,-52,2026-02-13 10:55:46
84:b2:61:1f:b5:37:,UTTetudiants,-52,2026-02-13 10:55:46
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:55:46
84:b2:61:1f:b5:37:,UTTetudiants,-74,2026-02-13 10:55:51
84:b2:61:1f:b5:37:,UTTetudiants,-74,2026-02-13 10:55:51
84:b2:61:1f:b5:37:,UTTetudiants,-78,2026-02-13 10:55:51
84:b2:61:1f:b5:37:,UTTetudiants,-62,2026-02-13 10:55:56
84:b2:61:1f:b5:37:,UTTetudiants,-62,2026-02-13 10:55:56
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:55:56
84:b2:61:1f:b5:37:,UTTetudiants,-70,2026-02-13 10:56:00
84:b2:61:1f:b5:37:,UTTetudiants,-70,2026-02-13 10:56:00
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:56:00
84:b2:61:1f:b5:37:,UTTetudiants,-70,2026-02-13 10:56:04
84:b2:61:1f:b5:37:,UTTetudiants,-70,2026-02-13 10:56:04
84:b2:61:1f:b5:37:,UTTetudiants,-76,2026-02-13 10:56:04
84:b2:61:1f:b5:37:,UTTetudiants,-66,2026-02-13 10:56:08
84:b2:61:1f:b5:37:,UTTetudiants,-66,2026-02-13 10:56:08
84:b2:61:1f:b5:37:,UTTetudiants,-83,2026-02-13 10:56:08
84:b2:61:1f:b5:37:,UTTetudiants,-70,2026-02-13 10:56:13
84:b2:61:1f:b5:37:,UTTetudiants,-70,2026-02-13 10:56:13
84:b2:61:1f:b5:37:,UTTetudiants,-77,2026-02-13 10:56:13
84:b2:61:1f:b5:37:,UTTetudiants,-73,2026-02-13 10:56:20
84:b2:61:1f:b5:37:,UTTetudiants,-73,2026-02-13 10:56:20
84:b2:61:1f:b5:37:,UTTetudiants,-84,2026-02-13 10:56:20
