BSSID,SSID,RSSI(dBm),Time
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:57:36
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:57:36
f8:6b:d9:5e:10:c8:,UTTetudiants,-57,2026-02-13 10:57:36
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:57:39
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:57:39
f8:6b:d9:5e:10:c8:,UTTetudiants,-70,2026-02-13 10:57:39
f8:6b:d9:5e:10:c8:,UTTetudiants,-51,2026-02-13 10:57:45
f8:6b:d9:5e:10:c8:,UTTetudiants,-51,2026-02-13 10:57:45
f8:6b:d9:5e:10:c8:,UTTetudiants,-51,2026-02-13 10:57:45
f8:6b:d9:5e:10:c8:,UTTetudiants,-51,2026-02-13 10:57:57
f8:6b:d9:5e:10:c8:,UTTetudiants,-55,2026-02-13 10:57:57
f8:6b:d9:5e:10:c8:,UTTetudiants,-47,2026-02-13 10:57:57
f8:6b:d9:5e:10:c8:,UTTetudiants,-53,2026-02-13 10:58:02
f8:6b:d9:5e:10:c8:,UTTetudiants,-53,2026-02-13 10:58:02
f8:6b:d9:5e:10:c8:,UTTetudiants,-43,2026-02-13 10:58:02
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:58:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:58:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-43,2026-02-13 10:58:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-58,2026-02-13 10:58:11
f8:6b:d9:5e:10:c8:,UTTetudiants,-58,2026-02-13 10:58:11
f8:6b:d9:5e:10:c8:,UTTetudiants,-59,2026-02-13 10:58:11
f8:6b:d9:5e:10:c8:,UTTetudiants,-58,2026-02-13 10:58:16
f8:6b:d9:5e:10:c8:,UTTetudiants,-58,2026-02-13 10:58:16
f8:6b:d9:5e:10:c8:,UTTetudiants,-47,2026-02-13 10:58:16
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:58:24
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:58:24
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:58:24
f8:6b:d9:5e:10:c8:,UTTetudiants,-57,2026-02-13 10:58:27
f8:6b:d9:5e:10:c8:,UTTetudiants,-57,2026-02-13 10:58:27
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:58:27
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:58:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:58:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-63,2026-02-13 10:58:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:58:34
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:58:34
f8:6b:d9:5e:10:c8:,UTTetudiants,-65,2026-02-13 10:58:34
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:58:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:58:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 10:58:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:58:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 10:58:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-63,2026-02-13 10:58:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:58:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:58:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:58:52
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:58:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:58:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:58:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-59,2026-02-13 10:58:59
f8:6b:d9:5e:10:c8:,UTTetudiants,-59,2026-02-13 10:58:59
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:58:59
f8:6b:d9:5e:10:c8:,UTTetudiants,-47,2026-02-13 10:59:03
f8:6b:d9:5e:10:c8:,UTTetudiants,-47,2026-02-13 10:59:03
f8:6b:d9:5e:10:c8:,UTTetudiants,-51,2026-02-13 10:59:03
f8:6b:d9:5e:10:c8:,UTTetudiants,-47,2026-02-13 10:59:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-47,2026-02-13 10:59:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:59:07
f8:6b:d9:5e:10:c8:,UTTetudiants,-50,2026-02-13 10:59:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-50,2026-02-13 10:59:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-64,2026-02-13 10:59:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-50,2026-02-13 10:59:14
f8:6b:d9:5e:10:c8:,UTTetudiants,-50,2026-02-13 10:59:14
f8:6b:d9:5e:10:c8:,UTTetudiants,-57,2026-02-13 10:59:14
f8:6b:d9:5e:10:c8:,UTTetudiants,-51,2026-02-13 10:59:19
f8:6b:d9:5e:10:c8:,UTTetudiants,-51,2026-02-13 10:59:19
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:59:19
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:59:22
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:59:22
f8:6b:d9:5e:10:c8:,UTTetudiants,-69,2026-02-13 10:59:22
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:59:28
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:59:28
f8:6b:d9:5e:10:c8:,UTTetudiants,-63,2026-02-13 10:59:28
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:59:31
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 10:59:31
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 10:59:31
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:59:36
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:59:36
f8:6b:d9:5e:10:c8:,UTTetudiants,-54,2026-02-13 10:59:36
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:59:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:59:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-57,2026-02-13 10:59:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-55,2026-02-13 10:59:43
f8:6b:d9:5e:10:c8:,UTTetudiants,-55,2026-02-13 10:59:43
f8:6b:d9:5e:10:c8:,UTTetudiants,-57,2026-02-13 10:59:43
f8:6b:d9:5e:10:c8:,UTTetudiants,-55,2026-02-13 10:59:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-55,2026-02-13 10:59:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-61,2026-02-13 10:59:46
f8:6b:d9:5e:10:c8:,UTTetudiants,-55,2026-02-13 10:59:51
f8:6b:d9:5e:10:c8:,UTTetudiants,-55,2026-02-13 10:59:51
f8:6b:d9:5e:10:c8:,UTTetudiants,-63,2026-02-13 10:59:51
f8:6b:d9:5e:10:c8:,UTTetudiants,-59,2026-02-13 10:59:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-59,2026-02-13 10:59:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-56,2026-02-13 10:59:56
f8:6b:d9:5e:10:c8:,UTTetudiants,-59,2026-02-13 11:00:00
f8:6b:d9:5e:10:c8:,UTTetudiants,-59,2026-02-13 11:00:00
f8:6b:d9:5e:10:c8:,UTTetudiants,-51,2026-02-13 11:00:00
f8:6b:d9:5e:10:c8:,UTTetudiants,-53,2026-02-13 11:00:05
f8:6b:d9:5e:10:c8:,UTTetudiants,-53,2026-02-13 11:00:05
f8:6b:d9:5e:10:c8:,UTTetudiants,-48,2026-02-13 11:00:05
f8:6b:d9:5e:10:c8:,UTTetudiants,-53,2026-02-13 11:00:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-53,2026-02-13 11:00:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-52,2026-02-13 11:00:10
f8:6b:d9:5e:10:c8:,UTTetudiants,-54,2026-02-13 11:00:14
f8:6b:d9:5e:10:c8:,UTTetudiants,-54,2026-02-13 11:00:14
f8:6b:d9:5e:10:c8:,UTTetudiants,-50,2026-02-13 11:00:14
f8:6b:d9:5e:10:c8:,UTTetudiants,-54,2026-02-13 11:00:18
f8:6b:d9:5e:10:c8:,UTTetudiants,-54,2026-02-13 11:00:18
f8:6b:d9:5e:10:c8:,UTTetudiants,-60,2026-02-13 11:00:18
f8:6b:d9:5e:10:c8:,UTTetudiants,-59,2026-02-13 11:00:22
