BSSID,SSID,RSSI(dBm),Time
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 11:05:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-71,2026-02-13 11:05:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 11:05:30
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 11:05:33
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 11:05:33
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 11:05:33
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 11:05:36
f8:6b:d9:5e:10:c8:,UTTetudiants,-72,2026-02-13 11:05:36
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 11:05:36
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 11:05:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-75,2026-02-13 11:05:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 11:05:40
f8:6b:d9:5e:10:c8:,UTTetudiants,-77,2026-02-13 11:05:44
f8:6b:d9:5e:10:c8:,UTTetudiants,-77,2026-02-13 11:05:44
f8:6b:d9:5e:10:c8:,UTTetudiants,-68,2026-02-13 11:05:44
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 11:05:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 11:05:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 11:05:50
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 11:05:54
f8:6b:d9:5e:10:c8:,UTTetudiants,-66,2026-02-13 11:05:54
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 11:05:54
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 11:06:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-67,2026-02-13 11:06:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-79,2026-02-13 11:06:04
f8:6b:d9:5e:10:c8:,UTTetudiants,-80,2026-02-13 11:06:19
